Id;error_L2;error_H1;norm_L2;norm_H1
0;3.0218740559298611e-07;3.0149023013768274e-04;1.6690889165654560e-02;1.9234657474085613e-02
1;5.5258245783689588e-07;2.9509180687927068e-04;1.9376965911683197e-02;2.5577589059183690e-02
2;9.9189981470898537e-07;3.6699333923247894e-04;2.3185564771586877e-02;1.4101059249601533e-02
3;7.2249032636644331e-07;3.4485443479316758e-04;1.8518558808916334e-02;1.2323741865079608e-02
4;6.1414101994901678e-07;1.0076739995333163e-03;1.5182462175533646e-02;4.7906345289183153e-02
5;1.4064261709556150e-07;3.5389958093269276e-04;6.3825577999499462e-03;2.7494806474246399e-02
6;1.2472457016825727e-07;4.1767169318025407e-04;4.6197256770120158e-03;2.0784423421585818e-02
7;1.2528677166738591e-07;2.4285462321182487e-04;7.3538793062731134e-03;5.0832333607736292e-02
8;1.9132754416570796e-07;2.3931046849722708e-04;6.1175412272081843e-03;4.2659353122045648e-02
9;2.2796528474420615e-07;2.1122253768490851e-04;1.1533760345326285e-02;4.8063252567813769e-02
10;6.0261503463619381e-07;4.0382641735735194e-04;1.8187730756098121e-02;3.7282486064124903e-02
11;3.5754137007174772e-07;3.3558311043323805e-04;1.3851207686113759e-02;1.8436930836711118e-02
12;6.2274947757622359e-07;3.2097727752432379e-04;1.7674661943420503e-02;3.8312042533695266e-02
13;3.8959878314631115e-07;5.1714092098348850e-04;1.4021325934208035e-02;2.7366275146806309e-02
14;3.9536431216064434e-07;3.0715642203364214e-04;1.3608250605070503e-02;2.6614284910341481e-02
15;1.6502365932979581e-07;2.2097207613916241e-04;1.0147399852143047e-02;2.1640851833631427e-02
16;2.8363264928999876e-07;2.4266250369325419e-04;1.2385077220712221e-02;2.1758356183676685e-02
17;3.5860183798299798e-07;2.6018329031283176e-04;1.7120274979191878e-02;2.8537640646799280e-02
18;3.8900963954004918e-07;3.3366557179462545e-04;1.6788546275675706e-02;2.7526732309565857e-02
19;4.2142974829104075e-07;4.5041355530147764e-04;1.3671213497965243e-02;1.1953102101631790e-02
20;4.7183371475423624e-07;3.1109982523052542e-04;1.6321563382390561e-02;1.8216960204618344e-02
21;3.0184412756321116e-07;1.3600553232226382e-04;1.1737456828918077e-02;1.0645102236849946e-02
22;1.1932937820446096e-06;3.6810429924628727e-04;2.2964310621641604e-02;1.5518544914433264e-02
23;7.5673995132892213e-07;3.9848419412373396e-04;2.0311146063273611e-02;5.4804809206981551e-03
24;8.4521866029172874e-07;4.4043794604005956e-04;2.1014834128609508e-02;1.0764469182049994e-02
25;7.6364827473595694e-07;2.2142351325943059e-04;1.8717217481394259e-02;8.4224785175106859e-03
26;9.8917538902099559e-07;3.2499705923844726e-04;2.3141861166143619e-02;4.5647904058245389e-03
27;4.2165875960855699e-07;1.5220091943492453e-04;1.4115875849774837e-02;1.2074720306854084e-02
28;5.8674405861100603e-07;4.0263301431668760e-04;1.7477712026263192e-02;1.2624094463775104e-02
29;7.4345756309253434e-08;5.0010404263002410e-04;4.8106232586712303e-03;1.6800716622769106e-03
30;8.8260855701556986e-08;4.8118267103684613e-04;5.6125904888082601e-03;7.8453889244159952e-03
31;2.2717362113594835e-08;1.8671160715909174e-04;3.9728740548198079e-03;1.1344437871123473e-02
32;1.3244384151574999e-07;3.6538336108283577e-04;7.7698133228531656e-03;1.7705906787281161e-02
33;1.9920077149386407e-07;7.0322787987058325e-04;6.8961156944505409e-03;1.1149935887642112e-02
34;2.7389633447098227e-07;8.2620564834447869e-04;8.5951528484323313e-03;1.3607437372710276e-02
35;2.2138229050730032e-07;2.5763964848668833e-04;8.2090162616190437e-03;2.0149970237643845e-02
36;1.6828783700148937e-07;1.2576622971554249e-04;8.9322004296011857e-03;2.7057985909674516e-02
37;5.9112990376322205e-08;6.8684127384936755e-05;6.0602216759454352e-03;1.5676394354271900e-02
38;4.1005154197635092e-07;8.4767461413069809e-04;1.2255811300609020e-02;3.2119361197112922e-02
39;1.3017164676970177e-07;5.0657962744512326e-04;7.3157115168342264e-03;2.6726740235240229e-02
40;2.8135833267643173e-07;4.6212750391572203e-04;7.2212588606847374e-03;3.6496087505163491e-02
41;7.8739672281392448e-08;1.5494353147411748e-04;4.6226921557901328e-03;2.5213226317710769e-02
42;1.8708532335896340e-07;2.3932933436162396e-04;8.1465420056727016e-03;6.6282628234520941e-02
43;6.3680254340792053e-08;1.0130911320293665e-04;5.1589361093216666e-03;4.2724703185953138e-02
44;2.5466639991763796e-07;3.5007601313179600e-04;7.1998134527048573e-03;4.3864437150151502e-02
45;2.3392989033893052e-07;1.6908282183381926e-04;9.4728313474247774e-03;4.1250763165474963e-02
46;1.9057961306616918e-07;1.1229565867841653e-04;1.0007828498934470e-02;3.1762520533434813e-02
47;2.6661440146537595e-07;3.6123657553500189e-04;8.9340468884924890e-03;3.6671522371901154e-02
48;5.1099904192246678e-08;3.1839866765679160e-05;5.4745833218360204e-03;1.1328514532687305e-02
49;3.1829760343923642e-07;2.3434432865017057e-04;1.6897703887212630e-02;2.8909162102175763e-02
50;1.6819078845856903e-07;1.5359853815770835e-04;1.2988070839210702e-02;1.6840337496515652e-02
51;2.0792883580159457e-07;3.1214016029596105e-04;9.0716606881531044e-03;3.4672843008973692e-02
52;1.5581821558475937e-07;1.2840074948928398e-04;1.0507703900577800e-02;3.5865939203494540e-02
53;3.1448229852897850e-07;3.0155213089978793e-04;9.4523876193589491e-03;6.3337791389636106e-02
54;1.1858447565017529e-07;1.1931463092147799e-04;6.1845043392416144e-03;5.5952684521707735e-02
55;3.3587087121874810e-06;9.0994605768599120e-04;3.0247978911768007e-02;1.0815843197047727e-02
56;1.9715293780727323e-06;5.4026847512138126e-04;2.3655036662503355e-02;1.2943956585587743e-02
57;6.0535694313665409e-07;2.1976667412187216e-04;1.5439008627521308e-02;1.3618687252013564e-02
