Id;error_L2;error_H1;norm_L2;norm_H1
0;1.4222735459614243e-06;3.4447700419438457e-04;2.6031149768939981e-03;2.0796537678849794e-03
1;1.1279693216980772e-06;5.2497418209537284e-04;2.6877208234280950e-03;2.4619379366902887e-03
2;1.7416177676128002e-07;7.9342792515015525e-04;1.5958154681676199e-03;1.2123872957771579e-03
3;3.4718273959434659e-06;2.3562661806847086e-03;5.8830456034367588e-03;6.1558184708836415e-03
4;3.3240477042928077e-07;3.8133624039557608e-04;1.7683118720046016e-03;1.9726001235786648e-03
5;1.1765639236997174e-06;9.8069935391615357e-04;2.7821019223197435e-03;2.5552476157324295e-03
6;1.3465976654455430e-06;1.4072696689720978e-03;2.8783670171334524e-03;2.4795785018769121e-03
7;7.1447193266669004e-07;4.2677020766244153e-04;1.8606265065114708e-03;2.0980287551513018e-03
8;1.5425356054925055e-06;1.6695115602795153e-03;2.9714847914597085e-03;2.3727040244623790e-03
9;5.2600516032996136e-08;4.4552954190290629e-04;1.6783947456844826e-03;1.7180270833456579e-03
10;1.4079711509032989e-06;5.2893091431602008e-04;2.0403358397529654e-03;2.3643466698907989e-03
11;1.7077082674365127e-06;1.7096383558582295e-03;3.0578240041192442e-03;2.3826307816564212e-03
12;9.5490322288272501e-07;4.6545646899400547e-04;1.1519042867795864e-03;7.0512677857433471e-03
13;1.7337793872456274e-06;5.3750820369287086e-04;2.1212055632840263e-03;2.6085100036397405e-03
14;1.7756002108057648e-06;2.3008983021152959e-04;2.2800469726363204e-03;4.2158065293050623e-03
15;8.3404114905322634e-07;3.9752487689915942e-04;1.1987810844657364e-03;7.5916277785305318e-03
16;8.2150360791526320e-07;3.2041607208424052e-05;1.2173679968750526e-03;5.3077356542961963e-03
17;1.6482318098618249e-06;1.8509565765829184e-04;2.3514042956202848e-03;5.0249566649347953e-03
18;9.3029401629660310e-07;5.5844595680599508e-04;1.1749398759880281e-03;7.8915276556727303e-03
19;1.9110213761966370e-06;3.4571706237818752e-04;2.1993806572143510e-03;3.4347500469632366e-03
20;1.0595563619575717e-05;8.4192186018369024e-03;2.4747410093494546e-02;4.9413856393172265e-02
21;1.0858900973503305e-06;4.9364718556258250e-04;1.9521036103577975e-03;2.1995712012600824e-03
22;6.7665002361048948e-05;5.9574762992949688e-03;4.4831220016934098e-02;8.0843297792017516e-02
23;2.1248267817659179e-04;1.8383148530343424e-02;9.7204100628322826e-02;2.2122727761282113e-01
24;3.1526011644017728e-06;1.0315820474877823e-04;2.2944413881821149e-03;1.2100555237824326e-03
25;2.0428131091186467e-04;4.8154518520803716e-03;5.8726468467949697e-02;8.9029685800097569e-02
26;4.0107844472320402e-06;3.1689349480804420e-04;2.9304712264038783e-03;6.3406908568702609e-03
27;1.2604434188149729e-06;4.0081160600464990e-03;3.8404767605421414e-02;2.9562220613851609e-01
28;5.4098489992595045e-06;1.3839987496306255e-04;3.6616860099488243e-03;5.9285152248539658e-03
29;2.5729578030384351e-06;3.0204737389504758e-04;2.5940851401653154e-03;8.1300507207926649e-03
30;1.1737184353571183e-05;4.6301686742200782e-04;8.2669805989802093e-03;1.4080750439430058e-02
31;3.4593421319451428e-06;4.7517813289257746e-04;4.0159215295856266e-03;6.3159001835729955e-03
32;1.0320366683786317e-05;3.9440450012382208e-04;1.3736608345103835e-02;5.0278884953423777e-03
33;2.8265411808997788e-06;8.6459234798127635e-04;1.3021087165275729e-02;3.9076677960246498e-02
34;2.4732950446037447e-06;1.9594176271751370e-04;4.0466198825038152e-03;2.9113991061042448e-02
35;3.0108918000003517e-06;2.4413113097648749e-04;9.4582975081436912e-03;1.1535206194803749e-02
36;5.3431024933829023e-06;6.9618003389766388e-04;1.0169643374411501e-02;6.7153628877697769e-03
37;1.4985425049327652e-05;6.8810096587188614e-04;1.6999675288879659e-02;9.0282432944229739e-03
38;5.4248713498616253e-06;1.2764420086191297e-02;3.0736704972927388e-02;2.0095488205947065e-01
39;5.0417454724162300e-07;2.3180638833724190e-04;8.6466476068079441e-04;4.8594917190059316e-04
40;3.5563678702610997e-06;1.2130548246329317e-04;2.9574106655797456e-03;1.2390385452545447e-03
41;3.5055218572567345e-06;1.2488361502769132e-04;3.3656473520324724e-03;1.0570353569762827e-03
42;3.7327834846557103e-05;1.3015895133403070e-03;1.9163959466104979e-02;1.5561655388578321e-02
43;5.3198808723984610e-06;6.4536907563315956e-05;3.1535712940826276e-03;1.6631355022248878e-03
44;4.6870805890335706e-06;9.2413939739013193e-05;2.6263721537545135e-03;1.6550330611076018e-03
45;2.4725705372508802e-06;7.6996915500413874e-05;3.2188306880910197e-03;8.6287400566975960e-04
46;4.7586755717592857e-06;5.7993347272522098e-05;4.3624528826156804e-03;2.2462528664058479e-03
47;2.8458741080620602e-06;5.5770723216950007e-05;3.4242543923474447e-03;1.0345722525444152e-03
48;2.9514756390966993e-06;8.0407003335309355e-05;3.3574858420615935e-03;9.1021542790141420e-04
49;2.6087950484419506e-06;9.1288556271684244e-05;3.3700438877823638e-03;8.4791447563803445e-04
50;3.2795319645505431e-06;1.0927133110247940e-04;3.5011564066317934e-03;9.2327585691416374e-04
51;7.6055486754157644e-06;4.4133329568120155e-04;1.0679953289398188e-02;1.1502597841314709e-02
52;3.0123528050710474e-06;1.5811568111808290e-02;3.0841277728459651e-02;2.0995989926903891e-01
53;5.4441549942072515e-06;2.9500907748779372e-05;3.4208080090745835e-03;1.5096471401143045e-03
54;8.1075054095544998e-05;2.5653734346111824e-02;4.1898478001601375e-02;4.2783055018283112e-02
55;7.7507524779884602e-06;2.2273109379097815e-04;4.5843299141248876e-03;4.2323869119429754e-03
56;2.5734584795782313e-05;1.3010782714319177e-03;1.7364565483728792e-02;1.3195403403610690e-02
57;1.0904446227834712e-06;1.0539081869435480e-04;1.3899350150060454e-03;1.8486593742549728e-03
58;1.7823551008291379e-04;8.0689274090327348e-03;5.2696862437843266e-02;1.1155673938979388e-01
59;3.2635118388585252e-06;2.4603054008453580e-04;2.0237170388870437e-03;3.3054259313913233e-03
60;1.2337405566326213e-06;1.7535146701380845e-04;1.5861164789664852e-03;2.5468032027521239e-03
61;5.9565234777604662e-06;4.0893750896376993e-03;1.2291246141815454e-02;2.4983751135258074e-02
62;2.6657747026076698e-05;3.3204496831217370e-04;1.6153947717523910e-02;9.9045309155391809e-03
63;3.3867588525998778e-06;2.0479529014748360e-05;2.5644338646254906e-03;1.1077122847848481e-03
64;3.6615518355520924e-06;7.5384124686804252e-05;2.8046385222714777e-03;1.4334231845181734e-03
65;3.5868719025417100e-06;2.6330446345368386e-04;2.2135287030023401e-03;2.7568841891780372e-03
66;8.1583994417616466e-06;1.9377807391470528e-04;4.9764176118759504e-03;4.0293201937371941e-03
67;3.7424824491517416e-06;2.2904186666793607e-04;2.2986333928530773e-03;3.0719226305268238e-03
68;3.3677260867292953e-06;2.6318569037692157e-04;2.1224977264542953e-03;3.0381538423904903e-03
69;4.7550788768686006e-06;2.7432731386347513e-05;3.1397597390935036e-03;1.4677824443192467e-03
70;5.2753634873104017e-06;1.8591963555271618e-05;3.4159029602188608e-03;1.4721336546713532e-03
71;1.3497115463750462e-06;1.9410277891799107e-04;1.5902838278354337e-03;3.1364279580167118e-03
72;1.2690294834651655e-06;7.8298179931403041e-04;1.4602987593517935e-03;6.2456966004832224e-03
73;2.4302362358324429e-05;7.0566659466943359e-03;3.0801201924402680e-02;6.7625272319950663e-02
74;2.7542279382542212e-05;1.5090563859562109e-02;3.8060389561707611e-02;3.5758846109046297e-02
75;1.9708664916710294e-06;2.0103468118379526e-05;1.4648806764331246e-03;3.7601849146106656e-03
76;1.8838363018936394e-06;1.8749190968444118e-05;1.2667684572506344e-03;3.6483592990249562e-03
77;3.3649133585392637e-06;1.6382377652899270e-04;1.8140440726565547e-03;3.9574075124917674e-03
78;1.5868124459910782e-06;1.1780862429908393e-03;1.5347872345343027e-03;5.6820932702481026e-03
79;3.3238976708274579e-06;1.4092486060508479e-04;1.7137472501980034e-03;3.8659172940206646e-03
80;1.4619549105914434e-06;2.5279729610213568e-05;9.4529361375227951e-04;2.9900747486964561e-03
81;3.0310743111738495e-06;1.9322327276523411e-04;1.6236711563384421e-03;3.6346709418316435e-03
82;3.5742773742155835e-06;1.7398359300547070e-03;7.0320080703156779e-03;2.7708437122139540e-02
83;2.6399995602029010e-06;2.1366197441256639e-04;1.5427133508251610e-03;4.0176613438058341e-03
84;2.3171327339144850e-06;2.4743022847550499e-04;1.4695554628099607e-03;4.3074013178123639e-03
85;4.8729097590318975e-06;1.8411149981846016e-03;7.9766460657995884e-03;2.7089204256316064e-02
86;3.2834943600956515e-06;2.1022924672675994e-04;1.9195502558500529e-03;3.7650257205279172e-03
87;4.2957732443315793e-07;5.7371434026668166e-05;5.5301185639162705e-04;4.1960472299102511e-03
88;3.8342393174629855e-06;2.2988963742641907e-04;2.3748034676412655e-03;2.8370925376672435e-03
89;1.0622863135943855e-05;7.4994453479848835e-03;3.2557431297538408e-02;2.1679478101747487e-01
90;2.4061800499847689e-06;1.1392000868678155e-05;1.9303217132057185e-03;7.0727622200781964e-04
91;3.9460543183082479e-06;2.1347506265826676e-04;2.4368708118927673e-03;2.8717213661474525e-03
92;1.8816687663693281e-06;1.7701621284007143e-05;1.6121276608342227e-03;5.7901319693925361e-04
93;1.2530124357317530e-06;5.1581325755773901e-06;1.0909914275387656e-03;3.2219300175798088e-04
94;4.0478585717766619e-06;2.1152891459632665e-04;2.5232356025197307e-03;2.8192619829697147e-03
95;1.3338808701400068e-06;8.4027501336851316e-06;1.1815774192897800e-03;3.8853584844005776e-04
96;3.9909353024277242e-06;2.1069479558537873e-04;2.4843461850686294e-03;2.8488302604282368e-03
97;4.0186296516647625e-06;2.1090124775001236e-04;2.5137656960126822e-03;2.8233431227838684e-03
98;1.1476835085182780e-06;5.3216879219248828e-06;1.0247036647355243e-03;3.3731159999628700e-04
99;1.6498272123443162e-06;7.2292148369301042e-06;1.3951420864537077e-03;4.4174810786006935e-04
100;2.1244574611099422e-06;2.6106592663742369e-04;1.4051175723248737e-03;4.8298604805237120e-03
101;1.9530360892733279e-06;3.1868204516344041e-04;1.3548368671755734e-03;4.6501909768359058e-03
102;4.6392527191265915e-07;9.6315696655487843e-05;1.0291805569463122e-03;7.5006487958606807e-03
103;1.7210525798434156e-06;3.9047065763890890e-04;1.3233896683681697e-03;4.6124185541707805e-03
104;1.5847705817347286e-06;4.2369504516762797e-04;1.3080049323882107e-03;4.6337183533593741e-03
105;4.0645275243899957e-07;1.1481200580392716e-04;1.1216746054300006e-03;7.8746125177039609e-03
106;5.1726707790867345e-07;8.2897589638319876e-05;8.4150091219552519e-04;6.3816827453464300e-03
107;2.7176227580127752e-06;3.8805564998155878e-05;2.2056863067442681e-03;9.3450055921032074e-04
108;7.4532063967961500e-06;1.3202518120355933e-02;3.3439042285529026e-02;2.1954814692278807e-01
109;1.1666004290334347e-05;1.1018955548243454e-03;2.2639885847626294e-02;5.0125333169680590e-02
110;4.2962087728995755e-07;1.2610492458795688e-04;1.1205404554112501e-03;7.8872231174724697e-03
111;5.4568406716500400e-06;2.4430608181881600e-03;2.3897072980057204e-02;5.1279491744821708e-02
112;5.7699785596109736e-07;9.2279927491056846e-04;1.1675613720835945e-03;4.7842817630882481e-05
113;8.1037775119308457e-06;1.7843767265630754e-04;4.6852264148077834e-03;3.6707704299198118e-03
114;1.5435206374067890e-05;1.5860694500938329e-03;1.0064651664196362e-02;8.1907838657771254e-03
115;8.2465547751964277e-06;1.7569009663765371e-04;4.6361063726722135e-03;3.6499019017879469e-03
116;1.7276097422133182e-06;1.9800554561665387e-04;4.1007254110565546e-03;2.7340855457257049e-02
117;2.4052971435829933e-05;1.6256392100857535e-04;1.0917753675150091e-02;9.2944436765352821e-03
118;8.0037992591489782e-06;2.0454645417686051e-03;2.0348746608783524e-02;5.0139136497778111e-02
119;9.6387353802448676e-06;1.8707517235740348e-04;5.4166136403210894e-03;4.2009881861625482e-03
120;8.4235427599186137e-06;1.2000645574819793e-04;5.2517130281044856e-03;3.5466476275162083e-03
121;4.6504102657830623e-06;4.0755669548114013e-05;3.3064590768662628e-03;1.7637465586963440e-03
122;1.3439866930317069e-06;5.9032589338166955e-06;1.1812751003695051e-03;4.1538675840123993e-04
123;1.2516772458125792e-06;3.8298543314953466e-06;1.0910298506296573e-03;3.3315220429690207e-04
124;1.6381922819432274e-06;3.5139621627340484e-06;1.3954764985124411e-03;4.7658991427313867e-04
125;4.0821457652988596e-06;2.1212979633667957e-04;2.5121832759259022e-03;2.8407374045135944e-03
126;4.1164110143530158e-06;2.1289620165144691e-04;2.4812397431887389e-03;2.8809401795790689e-03
127;1.9016427943974905e-06;1.0904878941070915e-05;1.6115344991264422e-03;6.3640483357935672e-04
128;2.2230645532550383e-05;3.3116573343962242e-04;1.6268552629722460e-02;9.5728075367959835e-03
129;3.2212108844845743e-06;1.7738345488559462e-05;2.5690685049929171e-03;1.1756353360319316e-03
130;4.1270678758175523e-06;2.1641216802206864e-04;2.4324245429658818e-03;2.9115203898385260e-03
131;2.7346106769588458e-06;2.3773628493409067e-05;2.2051687833729151e-03;1.0156636693294085e-03
132;4.0587877647848905e-06;2.3369261326514738e-04;2.3692999890719147e-03;2.8781778871680161e-03
133;1.5079897517822959e-06;1.3218630019247449e-05;1.0522783007336097e-03;1.1198296746511597e-03
134;3.6375312955508179e-06;4.6243800075361930e-05;2.8052223411238618e-03;1.5140246199630831e-03
135;3.6051634154116040e-06;3.0113447566988477e-05;3.1714854370060207e-03;1.2620477155530958e-03
136;2.3523165742273679e-06;6.5455433213412122e-06;1.9318483303556533e-03;7.6553733029941233e-04
137;4.1452516215198899e-06;2.3380080355589580e-04;2.2888257886108862e-03;3.4731662665704308e-03
138;1.4434035842948989e-06;5.6201981544690767e-04;4.2312696568325347e-03;1.2813145316846557e-02
139;1.4290642088825473e-06;2.6075065043288731e-04;5.2902076791665354e-03;3.7722092748907338e-02
140;4.0300679412130019e-06;5.8014244862005242e-04;4.7668290162911700e-03;9.8308355538143360e-03
141;1.4842367815506627e-05;2.6274693730609147e-04;6.1499025710986758e-03;9.2962868138894844e-03
142;4.5322528803886338e-05;2.7304459820050699e-03;2.1210652996989297e-02;3.3838922714926251e-02
143;2.0031336549883216e-05;1.8877191549157828e-04;1.1474423296196679e-02;7.9945590627325883e-03
144;6.0646515048439853e-05;2.2034259393096854e-02;4.3761665573902077e-02;4.1450300822751231e-02
145;8.8514237222017132e-06;7.4111359704945876e-03;1.5018221757565793e-02;1.2462130119149480e-02
146;8.6904461736350675e-06;7.3548969551154560e-03;1.5008970309056995e-02;1.2497077300310216e-02
147;9.0186932604417351e-05;3.7980519944712026e-03;2.5382407037371699e-02;6.0638705505630032e-02
148;5.2233761316349392e-05;1.6093352903903139e-03;2.3085730260156735e-02;3.5601403574230396e-02
149;1.4321788473609659e-05;3.6633739084301273e-03;2.0234459383007240e-02;3.8201661375152039e-02
150;2.3466925019822691e-06;1.4884515464200082e-03;5.2839949254576430e-03;2.1072296724574509e-02
151;1.3037640803982332e-06;1.1511077089773692e-04;4.0995832067959202e-03;2.8749163466129615e-02
