Id;X;Y;Z;num_solution;ext_solution;error_inf
0;5.6891649440013459e-02;1.2844582472000676e-01;0.0000000000000000e+00;1.2212424597669784e+00;1.1961046668499644e+00;2.5137792917014012e-02
1;7.1202484709260161e-02;2.0000000000000007e-01;0.0000000000000000e+00;1.2761834040083706e+00;1.2692996886540486e+00;6.8837153543219731e-03
2;8.5513319978506974e-02;1.2844582472000676e-01;0.0000000000000000e+00;1.2475159278317274e+00;1.2400701242842775e+00;7.4458035474498363e-03
3;9.9824156313993884e-02;2.0000000000000007e-01;0.0000000000000000e+00;1.3148137053455740e+00;1.3300397929732948e+00;1.5226087627720819e-02
4;1.1413499051700038e-01;1.2844582472000676e-01;0.0000000000000000e+00;1.2782189460010926e+00;1.2811009452226074e+00;2.8819992215147749e-03
5;1.2844582472000676e-01;2.0000000000000007e-01;0.0000000000000000e+00;1.3538824834541883e+00;1.3865855867699306e+00;3.2703103315742332e-02
6;1.4275666318797442e-01;1.2844582472000676e-01;0.0000000000000000e+00;1.3099331463172270e+00;1.3191971323940175e+00;9.2639860767904647e-03
7;1.5706750165594197e-01;2.0000000000000007e-01;0.0000000000000000e+00;1.3929418677228083e+00;1.4389370920435269e+00;4.5995224320718675e-02
8;1.7137834012390962e-01;1.2844582472000676e-01;0.0000000000000000e+00;1.3407022654672440e+00;1.3543586876529807e+00;1.3656422185736705e-02
9;1.8568917859187717e-01;2.0000000000000007e-01;0.0000000000000000e+00;1.4317265231342671e+00;1.4870942913171230e+00;5.5367768182855936e-02
10;2.0000001705984483e-01;1.2844582472000676e-01;0.0000000000000000e+00;1.3692986826196676e+00;1.3865856051040761e+00;1.7286922484408551e-02
11;2.1431085552781237e-01;2.0000000000000007e-01;0.0000000000000000e+00;1.4700613012515693e+00;1.5310571845907188e+00;6.0995883339149515e-02
12;2.2862169399578014e-01;1.2844582472000676e-01;0.0000000000000000e+00;1.3948482323683939e+00;1.4158778847473037e+00;2.1029652378909747e-02
13;2.4293253246374769e-01;2.0000000000000007e-01;0.0000000000000000e+00;1.5076501432808704e+00;1.5708257718643148e+00;6.3175628583444388e-02
14;2.5724337093171523e-01;1.2844582472000676e-01;0.0000000000000000e+00;1.4146723752992565e+00;1.4422355265826630e+00;2.7563151283406473e-02
15;2.7155420939968300e-01;2.0000000000000007e-01;0.0000000000000000e+00;1.5448929849731905e+00;1.6064000531379103e+00;6.1507068164719847e-02
16;2.8586504786765055e-01;1.2844582472000676e-01;0.0000000000000000e+00;1.4362488788851266e+00;1.4656585306101546e+00;2.9409651725027963e-02
17;3.0017588633561809e-01;2.0000000000000007e-01;0.0000000000000000e+00;1.5822024144006459e+00;1.6377800284115054e+00;5.5577614010859477e-02
18;3.1448672480358564e-01;1.2844582472000676e-01;0.0000000000000000e+00;1.4570510315348728e+00;1.4861468968297782e+00;2.9095865294905376e-02
19;3.2879756327155341e-01;2.0000000000000007e-01;0.0000000000000000e+00;1.6186928587089462e+00;1.6649656976851004e+00;4.6272838976154196e-02
20;3.4310835055998656e-01;1.2844582472000676e-01;0.0000000000000000e+00;1.4689783399944050e+00;1.5037005964767944e+00;3.4722256482389469e-02
21;3.4310835055998656e-01;2.7155417527999332e-01;0.0000000000000000e+00;1.7655289243290953e+00;1.8133435763500358e+00;4.7814652020940596e-02
22;5.6891649440013459e-02;2.7155417527999332e-01;0.0000000000000000e+00;1.2834035709484191e+00;1.2698180467232061e+00;1.3585524225212975e-02
23;2.9050966259708150e-01;5.9050966259708149e-01;0.0000000000000000e+00;1.8077112946787535e+00;1.8974394495582185e+00;8.9728154879465061e-02
24;3.1313708498984766e-01;3.8686291501015246e-01;0.0000000000000000e+00;1.8806082361519159e+00;1.9162801589720821e+00;3.5671922820166291e-02
25;3.1313708498984766e-01;6.1313708498984765e-01;0.0000000000000000e+00;1.8496836719500744e+00;1.9162801589720819e+00;6.6596487022007489e-02
26;8.6862915010152475e-02;6.1313708498984765e-01;0.0000000000000000e+00;1.3810289287072737e+00;1.4010267210279186e+00;1.9997792320644914e-02
27;8.6862915010152419e-02;7.8868628880361702e-01;0.0000000000000000e+00;1.3236848902376135e+00;1.3115058244361912e+00;1.2179065801422251e-02
28;3.1313708498984766e-01;7.8868628880361702e-01;0.0000000000000000e+00;1.6474552222991852e+00;1.6735305072079742e+00;2.6075284908789076e-02
29;3.1313708498984766e-01;8.1131371119638307e-01;0.0000000000000000e+00;1.5731675468233923e+00;1.6268096405606840e+00;5.3642093737291674e-02
30;8.6862915010152419e-02;8.1131371119638307e-01;0.0000000000000000e+00;1.3220885140688186e+00;1.2942761648201506e+00;2.7812349248667934e-02
31;3.8686291501015235e-01;3.1313708498984760e-01;0.0000000000000000e+00;1.8809206880313616e+00;1.9162801589720819e+00;3.5359470940720339e-02
32;3.8686291501015235e-01;2.5656854249492383e-01;0.0000000000000000e+00;1.7570643672583022e+00;1.8239007194860410e+00;6.6836352227738871e-02
33;3.8686291501015235e-01;2.0000000000000001e-01;0.0000000000000000e+00;1.6369872019391773e+00;1.7072320000000003e+00;7.0244798060822955e-02
34;3.8686291501015235e-01;1.4343145750507624e-01;0.0000000000000000e+00;1.5092092930944889e+00;1.5662740005139593e+00;5.7064707419470340e-02
35;3.8686291501015235e-01;8.6862915010152419e-02;0.0000000000000000e+00;1.3642387317650990e+00;1.4010267210279184e+00;3.6787989262819343e-02
36;4.4343145750507618e-01;8.6862915010152419e-02;0.0000000000000000e+00;1.3810683572007330e+00;1.4132099272752541e+00;3.2141570074521120e-02
37;5.0000000000000000e-01;8.6862915010152419e-02;0.0000000000000000e+00;1.3894801912582735e+00;1.4172709960243659e+00;2.7790804766092414e-02
38;5.5656854249492382e-01;8.6862915010152419e-02;0.0000000000000000e+00;1.3889688665530537e+00;1.4132099272752541e+00;2.4241060722200336e-02
39;6.1313708498984765e-01;8.6862915010152419e-02;0.0000000000000000e+00;1.3810492925991342e+00;1.4010267210279184e+00;1.9977428428784139e-02
40;6.1313708498984765e-01;1.4343145750507624e-01;0.0000000000000000e+00;1.5210205448155869e+00;1.5662740005139593e+00;4.5253455698372358e-02
41;6.1313708498984765e-01;2.0000000000000001e-01;0.0000000000000000e+00;1.6416218054747804e+00;1.7072320000000003e+00;6.5610194525219878e-02
42;6.1313708498984765e-01;2.5656854249492383e-01;0.0000000000000000e+00;1.7439038590623159e+00;1.8239007194860410e+00;7.9996860423725114e-02
43;5.5656854249492382e-01;2.5656854249492383e-01;0.0000000000000000e+00;1.7710224400040788e+00;1.8531985563623734e+00;8.2176116358294582e-02
44;5.0000000000000000e-01;2.5656854249492383e-01;0.0000000000000000e+00;1.8174191026161604e+00;1.8629645019878174e+00;4.5545399371657025e-02
45;5.0000000000000000e-01;2.4989345315879763e-01;0.0000000000000000e+00;1.8150839227767728e+00;1.8497868609086778e+00;3.4702938131905059e-02
46;6.0646199565372139e-01;2.4989345315879763e-01;0.0000000000000000e+00;1.8244752403683910e+00;1.8157940543602438e+00;8.6811860081472680e-03
47;6.0646199565372139e-01;9.3538004346278569e-02;0.0000000000000000e+00;1.4366182386204112e+00;1.4237784597844116e+00;1.2839778835999516e-02
48;5.0000000000000000e-01;9.3538004346278569e-02;0.0000000000000000e+00;1.4313979283910530e+00;1.4391545843567766e+00;7.7566559657236134e-03
49;3.9353800434627856e-01;9.3538004346278569e-02;0.0000000000000000e+00;1.4163997002214281e+00;1.4237784597844116e+00;7.3787595629835057e-03
50;3.9353800434627856e-01;2.0000000000000001e-01;0.0000000000000000e+00;1.6955563033535499e+00;1.7109845593124531e+00;1.5428255958903181e-02
51;3.9353800434627856e-01;2.5656854249492383e-01;0.0000000000000000e+00;1.8056301615901942e+00;1.8283742656532371e+00;2.2744104063042947e-02
52;3.9353800434627856e-01;3.1313708498984760e-01;0.0000000000000000e+00;1.8898748820046893e+00;1.9213245896215230e+00;3.1449707616833633e-02
53;4.9999999999999994e-01;6.3940788736709886e-01;0.0000000000000000e+00;1.9561582931321642e+00;2.0222617637593689e+00;6.6103470627204786e-02
54;4.7639743842637700e-01;6.3739901332109028e-01;0.0000000000000000e+00;1.9557416290686596e+00;2.0224259904351447e+00;6.6684361366485145e-02
55;4.5347387957615143e-01;6.3143018283182040e-01;0.0000000000000000e+00;1.9548645687830435e+00;2.0228439878134767e+00;6.7979419030433252e-02
56;4.3188879250062578e-01;6.2167310828504319e-01;0.0000000000000000e+00;1.9541953369675575e+00;2.0233249426102802e+00;6.9129605642722636e-02
57;4.1226314085509375e-01;6.0840848295080852e-01;0.0000000000000000e+00;1.9551422210057057e+00;2.0236468511921792e+00;6.8504630186473570e-02
58;3.9516151890506340e-01;5.9201790594913983e-01;0.0000000000000000e+00;1.9510415356597939e+00;2.0236554306100070e+00;7.2613894950213087e-02
59;3.8107590917719231e-01;5.7297290433812664e-01;0.0000000000000000e+00;1.9489386853977404e+00;2.0233330519830313e+00;7.4394366585290861e-02
60;3.7041152901774621e-01;5.5182136813897065e-01;0.0000000000000000e+00;1.9463825724644037e+00;2.0228070526699788e+00;7.6424480205575129e-02
61;3.6347517322732442e-01;5.2917178853761659e-01;0.0000000000000000e+00;1.9440621841482111e+00;2.0222937007084436e+00;7.8231516560232528e-02
62;3.6046638813302612e-01;5.0567575270120968e-01;0.0000000000000000e+00;1.9447951189633341e+00;2.0220026631290615e+00;7.7207544165727393e-02
63;3.6147173100393293e-01;4.8200919880163845e-01;0.0000000000000000e+00;1.9465863380161652e+00;2.0220443787734421e+00;7.5458040757276912e-02
64;3.6646227995607217e-01;4.5885297050500745e-01;0.0000000000000000e+00;1.9513932059132539e+00;2.0223814613785236e+00;7.0988255465269656e-02
65;3.7529446598236038e-01;4.3687323033897202e-01;0.0000000000000000e+00;1.9564906833421787e+00;2.0228457219658842e+00;6.6355038623705509e-02
66;3.8771420317154182e-01;4.1670229540969672e-01;0.0000000000000000e+00;1.9603218198609662e+00;2.0232132713418758e+00;6.2891451480909577e-02
67;4.0336419829724224e-01;3.9892044678996819e-01;0.0000000000000000e+00;1.9642931585858250e+00;2.0233043740791441e+00;5.9011215493319114e-02
68;4.2179422949356982e-01;3.8403923588924554e-01;0.0000000000000000e+00;1.9635193119458743e+00;2.0230637249832859e+00;5.9544413037411648e-02
69;4.4247409831847939e-01;3.7248676805099024e-01;0.0000000000000000e+00;1.9634269473676649e+00;2.0225854944747228e+00;5.9158547107057924e-02
70;4.6480888259762082e-01;3.6459538674138359e-01;0.0000000000000000e+00;1.9643721433081420e+00;2.0220719935016644e+00;5.7699850193522417e-02
71;4.8815605125212252e-01;3.6059211263290114e-01;0.0000000000000000e+00;1.9597827429812544e+00;2.0217442674776844e+00;6.1961524496429998e-02
72;5.1184394874787742e-01;3.6059211263290114e-01;0.0000000000000000e+00;1.9588495576842428e+00;2.0217442674776844e+00;6.2894709793441583e-02
73;5.3519111740237912e-01;3.6459538674138359e-01;0.0000000000000000e+00;1.9554661661391188e+00;2.0220719935016644e+00;6.6605827362545611e-02
74;5.5752590168152050e-01;3.7248676805099024e-01;0.0000000000000000e+00;1.9576560016608033e+00;2.0225854944747228e+00;6.4929492813919465e-02
75;5.7820577050643007e-01;3.8403923588924560e-01;0.0000000000000000e+00;1.9599741551009768e+00;2.0230637249832859e+00;6.3089569882309071e-02
76;5.9663580170275765e-01;3.9892044678996819e-01;0.0000000000000000e+00;1.9587740714351085e+00;2.0233043740791441e+00;6.4530302644035586e-02
77;6.1228579682845807e-01;4.1670229540969678e-01;0.0000000000000000e+00;1.9556019569934133e+00;2.0232132713418762e+00;6.7611314348462903e-02
78;6.2470553401763951e-01;4.3687323033897202e-01;0.0000000000000000e+00;1.9542445248521509e+00;2.0228457219658842e+00;6.8601197113733248e-02
79;6.3353772004392772e-01;4.5885297050500745e-01;0.0000000000000000e+00;1.9540375951960285e+00;2.0223814613785236e+00;6.8343866182495105e-02
80;6.3852826899606696e-01;4.8200919880163845e-01;0.0000000000000000e+00;1.9572402576667232e+00;2.0220443787734426e+00;6.4804121106719403e-02
81;6.3953361186697377e-01;5.0567575270120968e-01;0.0000000000000000e+00;1.9662243174459955e+00;2.0220026631290615e+00;5.5778345683066055e-02
82;6.3652482677267541e-01;5.2917178853761659e-01;0.0000000000000000e+00;1.9604709260439273e+00;2.0222937007084441e+00;6.1822774664516800e-02
83;6.2958847098225368e-01;5.5182136813897065e-01;0.0000000000000000e+00;1.9585999185689582e+00;2.0228070526699788e+00;6.4207134101020635e-02
84;6.1892409082280764e-01;5.7297290433812664e-01;0.0000000000000000e+00;1.9581640361830088e+00;2.0233330519830313e+00;6.5169015800022434e-02
85;6.0483848109493654e-01;5.9201790594913983e-01;0.0000000000000000e+00;1.9579688405996380e+00;2.0236554306100070e+00;6.5686590010368917e-02
86;5.8773685914490614e-01;6.0840848295080852e-01;0.0000000000000000e+00;1.9596483355057706e+00;2.0236468511921792e+00;6.3998515686408686e-02
