Id;error_L2;error_H1;norm_L2;norm_H1
0;7.0579524674136987e-08;5.0197137865811914e-05;6.8512327241470822e-03;1.1774334619366339e-02
1;4.7953003762624702e-08;4.1317755969344040e-05;6.2831812793824387e-03;1.6637855544033003e-02
2;4.5527554456815489e-08;2.7672528780664168e-05;5.6621507181967880e-03;1.0599867436136702e-02
3;1.3084424013570405e-07;1.8758833372215503e-04;8.0629337163661951e-03;2.0936491910933448e-02
4;1.3507332050466004e-07;1.1276460319356806e-04;8.6142404827542745e-03;1.3052048312057109e-02
5;6.8894868400816249e-08;1.4428398367810811e-04;8.5292285856533399e-03;2.0331230559472301e-02
6;3.3568810246408475e-08;3.7144041054132305e-05;2.9117307107274400e-03;7.4574173412862432e-03
7;8.3783080783137376e-08;7.8267219800649417e-05;5.1825116041387450e-03;8.0827162379353348e-03
8;2.6795063026347411e-09;1.4214178489311387e-06;9.6191618548126993e-04;1.8835650650754349e-03
9;2.7529847205391378e-08;3.4220864226577489e-05;5.4241678530771685e-03;1.0138383600297788e-02
10;3.5468458895595157e-08;5.0210793120550845e-05;4.7233380100138488e-03;7.7212791369220121e-03
11;3.7560207605424975e-08;3.8649899205818552e-05;4.6143806916040990e-03;9.1500776089535763e-03
12;2.3175231032934612e-09;8.0618076448438488e-06;1.3221011142808227e-03;2.9200917263030807e-03
13;4.8799500714796888e-09;1.2208273780109100e-05;1.0395448540706401e-03;2.3452452512515414e-03
14;1.8950198780321940e-08;2.7919834869400841e-05;3.5797721777881108e-03;7.5251606130676569e-03
15;1.7294268524869070e-08;1.7097488206005661e-05;2.7135110866546063e-03;6.3944568956893653e-03
16;9.2385824295118284e-08;3.7485617771185930e-04;6.1602328276033095e-03;2.8896426421793252e-02
17;2.2357634366935942e-09;2.5242216191423233e-05;2.2304464680232721e-03;1.4073468804418260e-02
18;1.9293312543098570e-08;9.9349212853366321e-05;4.3546671116490437e-03;3.4478099178122994e-02
19;1.6923648615702893e-08;4.3235987183039648e-05;3.9086096454279467e-03;1.8010370159918129e-02
20;8.0075104716150674e-08;1.1217334900629028e-04;5.0682670348348551e-03;1.7167582772659215e-02
21;7.0260712481387244e-08;1.2412569690178280e-04;4.5663404490061807e-03;3.0167289780526477e-02
22;6.3603222155987227e-09;1.5365219856837840e-05;1.9628095734219434e-03;9.5895469640689124e-03
