Id;error_L2;error_H1;norm_L2;norm_H1
0;2.9778904757481528e-11;4.9882863118811150e-07;3.2553229373582463e-04;7.4115955610977533e-04
1;1.0995698087290476e-10;1.4238055320412206e-06;3.9522755583113091e-04;8.6377549883390344e-04
2;5.2094350613303631e-08;1.0340857703512946e-04;3.1986647563717954e-03;1.3119883436197995e-02
3;1.0288496035940860e-08;3.5773034416432464e-05;2.0588065755116208e-03;6.7871565021124158e-03
4;1.4508903011893292e-08;3.7148466866733597e-05;1.8159449511677900e-03;7.4354264708735183e-03
5;3.2654950463504481e-09;2.5491491680684892e-05;1.8495764806255813e-03;4.4905528631327104e-03
6;1.0725176214814617e-09;2.6587557923158920e-05;1.1700851142576714e-03;3.0958695976081342e-03
7;2.0975545344060707e-10;5.2226885939748388e-06;1.8309593191958243e-03;4.6955946062664780e-03
8;4.1176172491135332e-08;8.0301546724230479e-05;6.7402929757722028e-03;1.9773582650127401e-02
9;2.6658287011547595e-08;7.0608960195166418e-05;4.7268762192105625e-03;1.4724726299774426e-02
10;1.6141307761797715e-10;5.6315257012884977e-07;2.4079167745425195e-04;6.1457107257506776e-04
11;4.9807933196033101e-10;1.7338402938048064e-06;7.5116467541222367e-04;1.8204350169113005e-03
12;1.0339538071607538e-09;1.2837707376684701e-06;8.2127748942940654e-04;1.8673638363522435e-03
13;2.4117153898412532e-09;8.0893803893820533e-06;1.6638184579416617e-03;3.7023929875011422e-03
14;1.2300676356714415e-09;2.9930574326440724e-06;1.6229086355092153e-03;6.3051124475228485e-03
15;1.5467169881188426e-08;2.7201344882416173e-05;2.7426666296708853e-03;1.1981349039935993e-02
16;7.0018846718057772e-09;1.5721077289968311e-05;1.7746134341261877e-03;8.2899005636872195e-03
17;2.7155744674049154e-09;2.0536180173690591e-05;2.0994773553689302e-03;1.0705646448959124e-02
18;1.1815545292498895e-08;3.3683265504624013e-05;2.3334636929021862e-03;1.0524970429806758e-02
19;1.2058412596039106e-09;1.3775008415552617e-05;1.5928845238397567e-03;7.7930221772103897e-03
20;4.1700468029073552e-08;3.4222874110415513e-04;5.3451993168066722e-03;2.3968102165572717e-02
21;1.1542084101595200e-08;6.2537045594317439e-05;1.5877179482500572e-03;7.6836976837315113e-03
22;1.8448217002210968e-10;7.7563160072622108e-06;6.7258910865211326e-04;4.6745364795101781e-03
23;8.8600662248768870e-09;6.1742032624411412e-05;3.0152201347527436e-03;2.5042371042816463e-02
24;2.8500047237474230e-10;1.4624369419474821e-05;1.7256647111005769e-03;1.1632644113191754e-02
25;6.4701176125267912e-10;8.4847509865313018e-06;1.1378647108078741e-03;8.3611803624493233e-03
26;3.9569674327539506e-08;7.5215547944717205e-05;6.4602959664051387e-03;8.2678418576087927e-03
