Cell2D_Index;NumQuadPoints_Boundary;NumQuadPoints_Internal;PiNabla_Cond;Pi0k_Cond;Pi0km1_Cond;PiNabla_Error;Pi0k_Error;Pi0km1_Error;HCD_Error;GBD_Error;Stab_Error
0;5;6;4.2961501878044803e+00;4.2961501878044821e+00;1.0000000000000000e+00;2.8947193645852443e-16;1.4405518092304930e-16;2.2204460492503131e-16;1.8008762981551269e-16;1.5078541044300344e-17;1.9870914785651154e-16
1;4;6;4.4436440522251894e+00;4.4436440522251912e+00;1.0000000000000000e+00;1.8134291770127682e-16;3.2928688991364565e-16;2.2204460492503131e-16;2.2697563888225100e-17;9.9079407014716827e-17;4.7061868174195138e-17
2;6;12;3.4719308467793142e+00;3.4719308467793120e+00;1.0000000000000000e+00;1.2954408831551980e-16;2.9657176728025647e-16;2.2204460492503131e-16;1.7912719446351564e-17;1.0243914544665187e-16;1.4722810814909965e-16
3;5;6;5.7662798491552243e+00;5.7662798491552252e+00;1.0000000000000000e+00;1.4775391159099471e-16;2.6673406611999366e-16;2.2204460492503131e-16;2.5537459751093987e-17;8.8943535709685563e-17;1.8644847946869829e-16
4;5;6;5.6745223850681441e+00;5.6745223850681459e+00;1.0000000000000000e+00;6.4255056752602263e-17;1.9384451420095730e-16;0.0000000000000000e+00;7.0528003631579220e-17;9.6201894481017822e-17;1.1555784623010756e-16
5;7;12;4.2414716981185698e+00;4.2414716981185672e+00;1.0000000000000000e+00;1.0358105392327899e-16;2.9003967837041565e-16;0.0000000000000000e+00;1.5962150846895511e-16;3.3286868329226805e-17;3.3953750173020537e-16
6;6;12;3.4867982131118063e+00;3.4867982131118036e+00;1.0000000000000000e+00;1.2944338730181989e-16;2.6634267329563093e-16;0.0000000000000000e+00;1.9316145653543465e-17;7.1618069826738580e-17;2.4685090681922521e-16
7;5;6;3.7157785300748305e+00;3.7157785300748301e+00;1.0000000000000000e+00;2.6455907480612493e-16;1.5935554206727755e-16;0.0000000000000000e+00;2.5325919409590363e-17;1.8711283355832150e-16;1.4035724721297703e-16
8;5;6;1.0047030344619621e+01;1.0047030344619621e+01;1.0000000000000000e+00;1.4332917616497529e-16;1.5787572126077993e-16;0.0000000000000000e+00;1.3320624644832543e-16;1.4526138449995711e-16;2.3511103476751525e-16
9;7;12;5.2233642962851938e+00;5.2233642962851965e+00;1.0000000000000000e+00;3.2738664260962223e-16;3.0837167547815523e-16;0.0000000000000000e+00;1.1570472504578413e-16;1.2297584609275541e-16;3.3609903612740712e-16
10;5;6;3.4892125291726188e+00;3.4892125291726188e+00;1.0000000000000000e+00;1.7916147020621912e-17;1.5994614539883037e-16;1.1102230246251565e-16;2.8090398132624150e-17;1.1205338100763913e-16;1.2709735405801310e-16
11;6;6;1.4901359525668102e+01;1.4901359525668109e+01;1.0000000000000000e+00;4.4913930505676354e-16;6.4479775053782984e-16;2.2204460492503131e-16;1.7718023595797228e-16;1.4631118977588140e-16;1.5322197353716184e-16
12;8;12;5.2141769118595036e+00;5.2141769118595018e+00;1.0000000000000000e+00;2.2331490881147408e-16;2.4260507325957574e-16;0.0000000000000000e+00;1.6504550262910797e-16;5.1711646808726433e-17;5.6095710958019729e-16
13;8;12;6.0551979954520103e+00;6.0551979954520148e+00;1.0000000000000000e+00;2.2257928599450476e-16;3.4916382663982078e-16;2.2204460492503131e-16;1.5019494292106092e-16;7.0348432236174676e-17;5.5893439163712313e-16
14;5;6;3.5758925786999920e+00;3.5758925786999916e+00;1.0000000000000000e+00;1.4377638216952162e-16;2.7206599848066788e-16;2.2204460492503131e-16;1.8113117138474374e-17;5.8863378805123953e-17;1.3046227762660822e-16
15;5;6;9.1956551054531914e+00;9.1956551054531825e+00;1.0000000000000000e+00;1.4710073213958102e-16;2.1549939413499502e-16;0.0000000000000000e+00;3.0039004700254782e-17;3.6663250565127578e-17;1.3620617475877395e-16
16;4;6;3.9412004364650692e+00;3.9412004364650692e+00;1.0000000000000000e+00;6.5092594645258374e-17;1.4422220147876730e-16;2.2204460492503131e-16;1.6638306535223092e-16;1.1809381733586530e-16;7.2111100739383649e-17
17;8;12;6.3743625809697217e+00;6.3743625809697271e+00;1.0000000000000000e+00;2.5653582818259945e-16;2.9448942857537285e-16;1.1102230246251565e-16;1.6816195765448566e-16;1.9445516873071491e-16;4.1903739315280111e-16
18;7;12;1.0017375943838298e+01;1.0017375943838291e+01;1.0000000000000000e+00;2.2280225384089140e-16;8.5642181224410226e-17;0.0000000000000000e+00;1.8211680587150934e-16;7.5500893807267178e-17;8.3730917109844409e-16
19;5;6;4.2198067707869358e+00;4.2198067707869331e+00;1.0000000000000000e+00;1.5138879198344939e-16;1.9970678322235079e-16;2.2204460492503131e-16;1.7458411778290873e-16;8.1772683237060963e-17;1.2157924297828159e-16
20;5;6;5.0412501170681292e+00;5.0412501170681336e+00;1.0000000000000000e+00;1.4332917616497529e-16;3.0086327025112270e-16;1.1102230246251565e-16;2.5824917544452382e-17;0.0000000000000000e+00;1.3151904163666896e-16
21;6;6;3.6419909967462343e+00;3.6419909967462352e+00;1.0000000000000000e+00;6.6321513313531159e-17;6.8134379257342626e-17;0.0000000000000000e+00;2.3209699579460323e-17;1.2812641932489420e-16;1.5473203184390715e-16
22;6;6;6.1512662101117783e+00;6.1512662101117810e+00;1.0000000000000000e+00;2.2216202911157822e-16;2.7429849281526872e-16;2.2204460492503131e-16;1.4944214489655924e-17;1.4888424735569539e-16;2.0797021263126980e-16
23;6;12;3.4539809702443440e+00;3.4539809702443440e+00;1.0000000000000000e+00;1.8705006635399730e-16;1.9329521701561158e-16;2.2204460492503131e-16;1.4463928518307857e-16;1.8093593968275764e-16;1.9597961215192605e-16
24;8;12;6.0328660165279482e+00;6.0328660165279508e+00;1.0000000000000000e+00;2.4038911399693497e-16;3.9501447654715564e-16;1.1102230246251565e-16;1.6535267201516126e-16;6.9320802369514396e-17;3.9406320940829057e-16
