Id;X;Y;Z;num_solution;ext_solution;error_inf
0;0.0000000000000000e+00;0.0000000000000000e+00;0.0000000000000000e+00;1.1000000000000001e+00;1.1000000000000001e+00;0.0000000000000000e+00
1;1.7197485725000000e-01;0.0000000000000000e+00;0.0000000000000000e+00;1.1000000000000001e+00;1.1000000000000001e+00;0.0000000000000000e+00
2;0.0000000000000000e+00;1.0000000000000000e+00;0.0000000000000000e+00;1.1000000000000001e+00;1.1000000000000001e+00;0.0000000000000000e+00
3;1.0000000000000000e+00;1.0000000000000000e+00;0.0000000000000000e+00;1.1000000000000001e+00;1.1000000000000001e+00;0.0000000000000000e+00
4;4.8938621750000000e-01;0.0000000000000000e+00;0.0000000000000000e+00;1.1000000000000001e+00;1.1000000000000001e+00;0.0000000000000000e+00
5;4.8938621750000000e-01;8.5038817537500000e-01;0.0000000000000000e+00;1.5753604456079784e+00;1.6086831854114816e+00;3.3322739803503199e-02
6;8.3819405375000000e-01;1.0000000000000000e+00;0.0000000000000000e+00;1.1000000000000001e+00;1.1000000000000001e+00;0.0000000000000000e+00
7;8.3819405375000000e-01;0.0000000000000000e+00;0.0000000000000000e+00;1.1000000000000001e+00;1.1000000000000001e+00;0.0000000000000000e+00
8;1.0000000000000000e+00;0.0000000000000000e+00;0.0000000000000000e+00;1.1000000000000001e+00;1.1000000000000001e+00;0.0000000000000000e+00
9;1.7197485725000000e-01;8.5038817537500000e-01;0.0000000000000000e+00;1.3834541485980651e+00;1.3898755573750576e+00;6.4214087769924877e-03
10;1.7197485725000000e-01;7.5049946125000003e-02;0.0000000000000000e+00;1.3006551639545263e+00;1.2581601729975271e+00;4.2494990956999157e-02
11;2.2193173087500001e-01;7.5049946125000003e-02;0.0000000000000000e+00;1.2873509926773345e+00;1.2917899095056646e+00;4.4389168283300862e-03
12;2.2193173087500001e-01;1.0000000000000000e+00;0.0000000000000000e+00;1.1000000000000001e+00;1.1000000000000001e+00;0.0000000000000000e+00
13;4.8938621750000000e-01;7.5049946125000003e-02;0.0000000000000000e+00;1.3895708686543471e+00;1.3775446861893150e+00;1.2026182465032065e-02
14;7.8498848374999997e-01;8.5038817537500000e-01;0.0000000000000000e+00;1.4087348654989809e+00;1.4435801952266900e+00;3.4845329727709151e-02
15;7.8498848374999997e-01;7.5049946125000003e-02;0.0000000000000000e+00;1.2995671667057973e+00;1.2874621772447974e+00;1.2104989460999915e-02
16;8.3819405375000000e-01;7.5049946125000003e-02;0.0000000000000000e+00;1.2685639370978121e+00;1.2506356280952189e+00;1.7928309002593235e-02
17;3.4150143487500001e-01;8.5038817537500000e-01;0.0000000000000000e+00;1.5437265211568372e+00;1.5577733233131799e+00;1.4046802156342686e-02
18;0.0000000000000000e+00;2.3255975012499999e-01;0.0000000000000000e+00;1.1000000000000001e+00;1.1000000000000001e+00;0.0000000000000000e+00
19;1.7197485725000000e-01;2.3255975012499999e-01;0.0000000000000000e+00;1.4633007615063691e+00;1.5066376524616705e+00;4.3336890955301355e-02
20;2.2193173087500001e-01;2.3255975012499999e-01;0.0000000000000000e+00;1.5700145731194832e+00;1.5931013736842528e+00;2.3086800564769527e-02
21;4.8938621750000000e-01;7.5921182200000004e-01;0.0000000000000000e+00;1.7911270308315144e+00;1.8309074230248765e+00;3.9780392193362157e-02
22;4.8938621750000000e-01;2.3255975012499999e-01;0.0000000000000000e+00;1.7879494538783505e+00;1.8135811595691580e+00;2.5631705690807527e-02
23;5.8501045087500003e-01;2.3255975012499999e-01;0.0000000000000000e+00;1.7477678445336435e+00;1.7932659848633370e+00;4.5498140329693459e-02
24;7.8498848374999997e-01;2.3255975012499999e-01;0.0000000000000000e+00;1.5710342496223704e+00;1.5819745593055832e+00;1.0940309683212801e-02
25;8.3819405375000000e-01;2.3255975012499999e-01;0.0000000000000000e+00;1.4648655302528519e+00;1.4872916741605156e+00;2.2426143907663620e-02
26;1.0000000000000000e+00;2.3255975012499999e-01;0.0000000000000000e+00;1.1000000000000001e+00;1.1000000000000001e+00;0.0000000000000000e+00
27;0.0000000000000000e+00;3.8580189612499999e-01;0.0000000000000000e+00;1.1000000000000001e+00;1.1000000000000001e+00;0.0000000000000000e+00
28;1.7197485725000000e-01;3.8580189612499999e-01;0.0000000000000000e+00;1.6441690228774251e+00;1.6398850401644656e+00;4.2839827129594887e-03
29;2.2193173087500001e-01;3.8580189612499999e-01;0.0000000000000000e+00;1.7310583304302283e+00;1.7546812704752408e+00;2.3622940045012530e-02
30;3.4150143487500001e-01;3.8580189612499999e-01;0.0000000000000000e+00;1.9127236346275771e+00;1.9525898881615142e+00;3.9866253533937135e-02
31;4.8938621750000000e-01;3.8580189612499999e-01;0.0000000000000000e+00;1.9977894471141626e+00;2.0474080687373495e+00;4.9618621623186865e-02
32;5.8501045087500003e-01;3.8580189612499999e-01;0.0000000000000000e+00;1.9963337606448912e+00;2.0204359995115806e+00;2.4102238866689385e-02
33;7.8498848374999997e-01;3.8580189612499999e-01;0.0000000000000000e+00;1.7433862866982808e+00;1.7399084116625740e+00;3.4778750357067345e-03
34;8.3819405375000000e-01;3.8580189612499999e-01;0.0000000000000000e+00;1.6055769357840366e+00;1.6141997544834390e+00;8.6228186994024014e-03
35;8.3819405375000000e-01;8.5038817537500000e-01;0.0000000000000000e+00;1.3671969351476039e+00;1.3760845908743800e+00;8.8876557267760781e-03
36;5.8501045087500003e-01;1.0000000000000000e+00;0.0000000000000000e+00;1.1000000000000001e+00;1.1000000000000001e+00;0.0000000000000000e+00
37;4.8938621750000000e-01;1.0000000000000000e+00;0.0000000000000000e+00;1.1000000000000001e+00;1.1000000000000001e+00;0.0000000000000000e+00
38;2.2193173087500001e-01;4.3817915574999999e-01;0.0000000000000000e+00;1.7441011130652586e+00;1.7801530496601896e+00;3.6051936594931000e-02
39;3.4150143487500001e-01;4.3817915574999999e-01;0.0000000000000000e+00;1.9523207277160370e+00;1.9857617266514191e+00;3.3440998935382105e-02
40;4.8938621750000000e-01;4.3817915574999999e-01;0.0000000000000000e+00;2.0424567255019124e+00;2.0842690119370819e+00;4.1812286435169543e-02
41;5.8501045087500003e-01;4.3817915574999999e-01;0.0000000000000000e+00;2.0307525187462634e+00;2.0562475365002859e+00;2.5495017754022520e-02
42;8.3819405375000000e-01;7.5921182200000004e-01;0.0000000000000000e+00;1.5096306329574436e+00;1.4966953943831218e+00;1.2935238574321772e-02
43;8.3819405375000000e-01;4.3817915574999999e-01;0.0000000000000000e+00;1.6297827364318327e+00;1.6342057989417591e+00;4.4230625099264120e-03
44;1.0000000000000000e+00;4.3817915574999999e-01;0.0000000000000000e+00;1.1000000000000001e+00;1.1000000000000001e+00;0.0000000000000000e+00
45;2.2193173087500001e-01;8.5038817537500000e-01;0.0000000000000000e+00;1.4422570668302792e+00;1.4515120517586664e+00;9.2549849283871666e-03
46;1.7197485725000000e-01;6.4354696587500004e-01;0.0000000000000000e+00;1.6030990471713245e+00;1.6226500874052017e+00;1.9551040233877215e-02
47;2.2193173087500001e-01;6.4354696587500004e-01;0.0000000000000000e+00;1.7157239881301574e+00;1.7337816345720523e+00;1.8057646441894892e-02
48;3.4150143487500001e-01;6.4354696587500004e-01;0.0000000000000000e+00;1.9045831200740195e+00;1.9253723411796355e+00;2.0789221105615985e-02
49;4.8938621750000000e-01;6.4354696587500004e-01;0.0000000000000000e+00;1.9946878021183008e+00;2.0171636053911164e+00;2.2475803272815620e-02
50;1.0000000000000000e+00;7.5921182200000004e-01;0.0000000000000000e+00;1.1000000000000001e+00;1.1000000000000001e+00;0.0000000000000000e+00
51;7.8498848374999997e-01;6.4354696587500004e-01;0.0000000000000000e+00;1.7108276963889681e+00;1.7194803752756047e+00;8.6526788866365667e-03
52;5.8501045087500003e-01;7.5921182200000004e-01;0.0000000000000000e+00;1.7682853160003336e+00;1.8100989812752419e+00;4.1813665274908374e-02
53;7.8498848374999997e-01;7.5921182200000004e-01;0.0000000000000000e+00;1.5741378993589952e+00;1.5936772480348154e+00;1.9539348675820190e-02
54;0.0000000000000000e+00;7.5921182200000004e-01;0.0000000000000000e+00;1.1000000000000001e+00;1.1000000000000001e+00;0.0000000000000000e+00
55;1.7197485725000000e-01;7.5921182200000004e-01;0.0000000000000000e+00;1.4973184592473345e+00;1.5165111069427555e+00;1.9192647695420950e-02
56;2.2193173087500001e-01;7.5921182200000004e-01;0.0000000000000000e+00;1.5882877336954135e+00;1.6050742294642295e+00;1.6786495768815968e-02
57;3.4150143487500001e-01;7.5921182200000004e-01;0.0000000000000000e+00;1.7251535522905836e+00;1.7577569883732544e+00;3.2603436082670800e-02
