Cell2D_Index;NumQuadPoints_Boundary;NumQuadPoints_Internal;PiNabla_Cond;Pi0k_Cond;Pi0km1_Cond;PiNabla_Error;Pi0k_Error;Pi0km1_Error;HCD_Error;GBD_Error;Stab_Error
0;4;6;3.2521531436565096e+00;3.2521531436565092e+00;1.0000000000000000e+00;1.8200548080610227e-16;1.7572443420028044e-16;2.2204460492503131e-16;1.9575983954286586e-17;1.7561766959152541e-16;0.0000000000000000e+00
1;4;6;5.4603018472549234e+00;5.4603018472549225e+00;1.0000000000000000e+00;1.4422220147876730e-16;2.3111135221866393e-16;1.1102230246251565e-16;2.8473264727829886e-17;1.4269117530805402e-16;2.7755575615628914e-17
2;4;6;3.1777307180541072e+00;3.1777307180541072e+00;1.0000000000000000e+00;0.0000000000000000e+00;1.8129866073473580e-16;2.2204460492503131e-16;2.4547371127979354e-17;0.0000000000000000e+00;0.0000000000000000e+00
3;4;6;4.1497610625103869e+00;4.1497610625103851e+00;1.0000000000000000e+00;1.7916147020621912e-17;1.6346950167652956e-16;2.2204460492503131e-16;5.7132088572842891e-17;1.9596000162228874e-16;6.2063353831181828e-17
4;4;6;3.1959932461449974e+00;3.1959932461449978e+00;1.0000000000000000e+00;1.2819751242557095e-16;1.8129866073473580e-16;2.2204460492503131e-16;1.2813279328933125e-16;0.0000000000000000e+00;0.0000000000000000e+00
5;4;6;3.7373236652877035e+00;3.7373236652877031e+00;1.0000000000000000e+00;1.8200548080610227e-16;1.3262790113221560e-16;1.1102230246251565e-16;2.9317825733343918e-17;3.5263197248090480e-16;4.3885418357208765e-17
6;4;6;5.6480191009130412e+00;5.6480191009130403e+00;1.0000000000000000e+00;9.1002740403051136e-17;1.5721355206523873e-16;1.1102230246251565e-16;1.6314392585205629e-17;0.0000000000000000e+00;5.5511151231257827e-17
7;4;6;4.8703049746822931e+00;4.8703049746822922e+00;1.0000000000000000e+00;1.4355295331320574e-16;3.2061894950496726e-16;2.2204460492503131e-16;4.1021625972942481e-17;9.5395758777828739e-17;2.9439233600320780e-17
8;4;6;1.0040361319291616e+01;1.0040361319291618e+01;1.0000000000000000e+00;1.8134291770127682e-16;2.2580742963342036e-16;2.2204460492503131e-16;4.6097586631855575e-17;9.5574280941892056e-17;3.9557781533026204e-17
9;4;6;6.6209038218499376e+00;6.6209038218499359e+00;1.0000000000000000e+00;1.8129866073473580e-16;3.9022667891395827e-16;2.2204460492503131e-16;2.4708636630487192e-17;1.5313892579920714e-16;0.0000000000000000e+00
10;4;6;2.9951304929868954e+00;2.9951304929868949e+00;1.0000000000000000e+00;1.7916147020621912e-17;6.5092594645258374e-17;2.2204460492503131e-16;2.5269321600860522e-17;0.0000000000000000e+00;2.7755575615628914e-17
11;4;6;4.2860873768269308e+00;4.2860873768269308e+00;1.0000000000000000e+00;1.2869730969111293e-16;4.0061722632990919e-17;0.0000000000000000e+00;4.3639295940085845e-17;8.9149891552526320e-17;2.7755575615628914e-17
12;4;6;4.8556753706563436e+00;4.8556753706563462e+00;1.0000000000000000e+00;1.1331166295920988e-17;1.9482522762884630e-16;3.3306690738754696e-16;1.7432816846919377e-16;0.0000000000000000e+00;6.4348654845556463e-17
13;4;6;5.7521097595418658e+00;5.7521097595418667e+00;1.0000000000000000e+00;6.4597586741603678e-17;1.7916147020621912e-17;0.0000000000000000e+00;1.1519395486462721e-16;1.4596377220037167e-16;0.0000000000000000e+00
14;4;6;3.1706199797000640e+00;3.1706199797000645e+00;1.0000000000000000e+00;1.9379276022481102e-16;1.3691500328805859e-16;0.0000000000000000e+00;1.9789121048558010e-16;1.7596436377626548e-16;0.0000000000000000e+00
15;4;6;4.8802451999835625e+00;4.8802451999835590e+00;1.0000000000000000e+00;1.2826009359230813e-16;1.9267148122663090e-16;2.2204460492503131e-16;2.9217370857384989e-17;1.9099280327504108e-16;2.7755575615628914e-17
16;4;6;3.2107433074805818e+00;3.2107433074805818e+00;1.0000000000000000e+00;1.7916147020621912e-17;2.3125019954402688e-16;0.0000000000000000e+00;1.6019484605513677e-16;0.0000000000000000e+00;0.0000000000000000e+00
17;4;6;3.7356468908310108e+00;3.7356468908310108e+00;1.0000000000000000e+00;1.8218175734214821e-16;9.1354783266548354e-17;0.0000000000000000e+00;2.7478604284349353e-17;7.8063538982081482e-17;4.3885418357208765e-17
18;4;6;4.4511705990693065e+00;4.4511705990693091e+00;1.0000000000000000e+00;1.2844765415108726e-16;1.4887660587431605e-16;1.1102230246251565e-16;3.7009532795066014e-17;0.0000000000000000e+00;5.9690622354909203e-17
19;4;6;3.0163319222012213e+00;3.0163319222012217e+00;1.0000000000000000e+00;1.8129866073473580e-16;3.7512835306051456e-16;0.0000000000000000e+00;4.5178285704241758e-17;1.0502873437192658e-16;0.0000000000000000e+00
