Cell2D_Index;NumQuadPoints_Boundary;NumQuadPoints_Internal;PiNabla_Cond;Pi0k_Cond;Pi0km1_Cond;PiNabla_Error;Pi0k_Error;Pi0km1_Error;HCD_Error;GBD_Error;Stab_Error
0;3;3;2.0057099191814313e+01;2.0057099191814345e+01;1.0000000000000000e+00;5.4413568387965687e-16;7.4649298723581027e-16;3.3306690738754696e-16;1.6899546188293679e-17;6.6016914832868624e-17;1.1886189468403789e-31
1;3;3;8.0444557569002022e+00;8.0444557569002058e+00;1.0000000000000000e+00;2.6455907480612493e-16;4.9889312129918551e-16;1.1102230246251565e-16;2.3661026367055688e-17;4.7990906342820629e-17;1.9514158776326746e-32
2;3;3;3.2253430733079607e+00;3.2253430733079620e+00;1.0000000000000000e+00;3.2049378106392736e-17;2.8900028014102882e-16;4.4408920985006262e-16;2.0552394797524245e-17;1.5474436681182612e-16;1.5143615924665385e-32
3;3;3;1.8627753934498514e+01;1.8627753934498465e+01;1.0000000000000000e+00;2.2523810649710327e-16;1.5721814590061739e-15;4.4408920985006262e-16;1.9003571862034431e-16;3.4541476857678903e-17;1.0768499670393347e-31
4;3;3;1.2828140913316869e+01;1.2828140913316854e+01;1.0000000000000000e+00;3.1442710413047747e-16;5.5176570055872728e-16;0.0000000000000000e+00;1.5993158430469171e-16;1.8694115100152218e-17;7.2259459325053687e-32
5;3;3;8.4852813742385678e+00;8.4852813742385713e+00;1.0000000000000000e+00;1.2819751242557095e-16;2.8665835232995059e-16;1.1102230246251565e-16;1.6991987459957204e-16;6.2152036716630355e-17;4.0419861254241290e-32
6;3;3;6.0561763452487085e+00;6.0561763452487050e+00;1.0000000000000000e+00;3.0259200161175745e-16;3.9074044625722856e-16;2.2204460492503131e-16;4.1662213361211127e-17;1.9949856346151145e-16;5.3916216498683445e-32
7;3;3;6.9382168281420116e+00;6.9382168281420169e+00;1.0000000000000000e+00;2.8710590662641148e-16;3.1666504770460871e-16;1.1102230246251565e-16;1.4310469065825607e-16;1.0365327186592552e-16;4.9547529563885067e-32
8;3;3;6.0561763452486916e+00;6.0561763452486916e+00;1.0000000000000000e+00;3.5154018940207626e-17;5.6712459011461350e-16;4.4408920985006262e-16;2.4001794267155309e-17;9.9749281730755625e-17;1.8883570719761302e-32
9;3;3;4.2426406871192874e+00;4.2426406871192848e+00;1.0000000000000000e+00;2.8710590662641148e-16;3.5226990516271880e-16;1.1102230246251565e-16;1.4457069747513256e-16;3.0809381917478325e-16;5.9244213561504589e-32
10;3;3;8.9981311618333351e+00;8.9981311618333368e+00;1.0000000000000000e+00;1.9312908443913744e-16;2.0158651201548848e-15;0.0000000000000000e+00;4.5444196654744921e-17;1.1960761308378576e-16;4.3753777569291661e-32
11;3;3;4.2426406871192848e+00;4.2426406871192865e+00;1.0000000000000000e+00;1.7916147020621912e-17;3.0773375700387565e-16;2.2204460492503131e-16;7.5953588030001131e-17;0.0000000000000000e+00;1.1643693836055321e-32
12;3;3;4.2426406871192857e+00;4.2426406871192830e+00;1.0000000000000000e+00;2.2662332591841976e-17;5.4281718792426756e-16;1.1102230246251565e-16;4.8288164505370933e-17;0.0000000000000000e+00;1.1643693836055321e-32
