Id;X;Y;Z;num_solution;ext_solution;error_inf
0;5.6891649440013348e-02;1.2844582472000671e-01;0.0000000000000000e+00;1.2411977457079975e+00;1.1961046668499642e+00;4.5093078858033264e-02
1;1.9999999999999996e-01;2.0000000000000001e-01;0.0000000000000000e+00;1.4628813352672692e+00;1.5096000000000001e+00;4.6718664732730897e-02
2;3.4310835055998656e-01;1.2844582472000671e-01;0.0000000000000000e+00;1.4559361259822918e+00;1.5037005964767942e+00;4.7764470494502387e-02
3;3.4310835055998656e-01;2.7155417527999332e-01;0.0000000000000000e+00;1.7926601672327693e+00;1.8133435763500358e+00;2.0683409117266516e-02
4;5.6891649440013348e-02;2.7155417527999332e-01;0.0000000000000000e+00;1.2808818351839351e+00;1.2698180467232056e+00;1.1063788460729418e-02
5;8.6862915010152419e-02;3.8686291501015241e-01;0.0000000000000000e+00;1.3841379373401688e+00;1.4010267210279184e+00;1.6888783687749598e-02
6;3.1313708498984766e-01;3.8686291501015241e-01;0.0000000000000000e+00;1.8672056802385915e+00;1.9162801589720821e+00;4.9074478733490690e-02
7;3.1313708498984766e-01;6.1313708498984765e-01;0.0000000000000000e+00;1.8867444727366034e+00;1.9162801589720819e+00;2.9535686235478531e-02
8;8.6862915010152419e-02;6.1313708498984765e-01;0.0000000000000000e+00;1.3745712072599234e+00;1.4010267210279184e+00;2.6455513767994931e-02
9;8.6862915010152419e-02;6.8686291501015240e-01;0.0000000000000000e+00;1.3603097102219781e+00;1.3729574400000002e+00;1.2647729778022088e-02
10;3.1313708498984766e-01;6.8686291501015240e-01;0.0000000000000000e+00;1.8144659943881438e+00;1.8401659950817071e+00;2.5700000693563263e-02
11;3.1313708498984766e-01;9.1313708498984769e-01;0.0000000000000000e+00;1.3576792956830006e+00;1.3729574400000000e+00;1.5278144316999365e-02
12;8.6862915010152419e-02;9.1313708498984769e-01;0.0000000000000000e+00;1.2515984329143610e+00;1.2006608849182931e+00;5.0937547996067867e-02
13;3.8686291501015235e-01;3.1313708498984760e-01;0.0000000000000000e+00;1.8809755017676182e+00;1.9162801589720819e+00;3.5304657204463741e-02
14;3.8686291501015235e-01;2.5656854249492389e-01;0.0000000000000000e+00;1.7822407414844337e+00;1.8239007194860410e+00;4.1659978001607367e-02
15;3.8686291501015235e-01;2.0000000000000007e-01;0.0000000000000000e+00;1.6531884748218162e+00;1.7072320000000003e+00;5.4043525178184115e-02
16;3.8686291501015235e-01;1.4343145750507624e-01;0.0000000000000000e+00;1.5144823009839825e+00;1.5662740005139593e+00;5.1791699529976754e-02
17;3.8686291501015235e-01;8.6862915010152419e-02;0.0000000000000000e+00;1.3639128984016686e+00;1.4010267210279184e+00;3.7113822626249737e-02
18;4.4343145750507618e-01;8.6862915010152419e-02;0.0000000000000000e+00;1.3773490808651323e+00;1.4132099272752541e+00;3.5860846410121772e-02
19;4.9999999999999994e-01;8.6862915010152419e-02;0.0000000000000000e+00;1.3841175082803350e+00;1.4172709960243659e+00;3.3153487744030929e-02
20;5.5656854249492382e-01;8.6862915010152419e-02;0.0000000000000000e+00;1.3829798732314080e+00;1.4132099272752541e+00;3.0230054043846044e-02
21;6.1313708498984765e-01;8.6862915010152419e-02;0.0000000000000000e+00;1.3745013386628016e+00;1.4010267210279184e+00;2.6525382365116812e-02
22;6.1313708498984765e-01;1.4343145750507624e-01;0.0000000000000000e+00;1.5244912495655922e+00;1.5662740005139593e+00;4.1782750948367031e-02
23;6.1313708498984765e-01;2.0000000000000007e-01;0.0000000000000000e+00;1.6561283272904312e+00;1.7072320000000003e+00;5.1103672709569059e-02
24;6.1313708498984765e-01;2.5656854249492389e-01;0.0000000000000000e+00;1.7701631268495965e+00;1.8239007194860410e+00;5.3737592636444509e-02
25;5.5656854249492382e-01;2.5656854249492389e-01;0.0000000000000000e+00;1.7955442511202551e+00;1.8531985563623734e+00;5.7654305242118342e-02
26;4.9999999999999994e-01;2.5656854249492389e-01;0.0000000000000000e+00;1.8041736640027968e+00;1.8629645019878174e+00;5.8790837985020605e-02
27;4.9999999999999994e-01;2.0000000000000007e-01;0.0000000000000000e+00;1.6959965975037707e+00;1.7400000000000002e+00;4.4003402496229471e-02
28;5.5656854249492382e-01;2.0000000000000007e-01;0.0000000000000000e+00;1.6951309015793603e+00;1.7318080000000000e+00;3.6677098420639709e-02
