Id;error_L2;error_H1;norm_L2;norm_H1
0;3.6211674805819988e-06;2.0558816507805313e-03;5.8890241494612867e-03;6.8675219506992898e-03
1;2.3176735072460080e-06;4.5670724483508232e-04;3.7620826959858435e-03;3.4790680601967244e-03
2;1.4540627695918931e-07;5.7167695411861812e-04;2.5002422317072339e-03;2.6792958571746927e-03
3;2.0326045936581932e-06;1.0126754360547962e-03;3.9482462160213023e-03;3.6692406096677579e-03
4;2.2063785550528244e-06;1.6897985439611692e-03;4.1380566986940733e-03;3.4903296839799312e-03
5;2.9026430224177671e-07;8.1408078556134667e-04;2.3222608901205533e-03;2.1667568289523388e-03
6;1.5533602159573408e-06;7.2439748214735416e-04;2.8620835578462931e-03;3.2222850103864500e-03
7;2.4291296224245738e-06;2.0383675153000645e-03;4.3146901345138241e-03;3.4319579119114580e-03
8;2.9079437570437911e-06;3.6178299414821899e-04;3.1752035176452059e-03;5.5534772238104921e-03
9;1.4407951905451055e-06;5.3293154221005945e-04;1.6849965343844029e-03;1.0354973657998373e-02
10;1.3096219635553092e-06;1.4987183079382367e-04;1.7284945254295173e-03;8.7886236895534254e-03
11;2.6372883186959802e-06;1.7027309924532108e-04;3.3288927057101231e-03;7.2917861120598264e-03
12;1.4377981179782846e-06;4.3997460984969509e-04;1.6405265809681950e-03;8.9684641204457703e-03
13;2.4317275523595205e-06;7.4541222556953981e-04;3.0220415628233687e-03;3.8058795488813968e-03
14;1.0753251478116162e-05;8.9326558974530540e-03;2.5246374263334852e-02;4.8173242749492501e-02
15;7.7111501944873727e-07;6.4035202298704679e-04;2.6839065250133334e-03;2.9139740584104611e-03
16;6.8174026892728185e-05;4.8825298609398542e-03;4.4808347154200394e-02;7.7627479016593143e-02
17;7.9057019641707317e-06;3.3179685737549068e-04;1.0668180296708723e-02;1.0043263879934056e-02
18;1.1123982220220829e-04;4.2487595778673134e-03;6.1009754682947108e-02;1.0983505128898791e-01
19;3.4652240737338137e-06;2.0980769403107507e-04;2.9453001582376566e-03;6.6496074716569601e-03
20;1.3041085039806123e-06;3.9483177846060822e-03;3.8396082189248608e-02;2.9438445097738181e-01
21;1.0154910161404392e-05;2.9401647764507667e-04;8.3098269965871194e-03;1.4894796125259159e-02
22;2.9311144432813371e-06;2.5025505883412026e-04;4.0336524895319172e-03;5.3272451974891201e-03
23;4.3069334677225985e-06;1.1574774427607343e-04;3.6920102322096186e-03;6.2124735883475456e-03
24;2.5753718375687667e-06;1.9168959845596305e-04;4.0426190467655210e-03;2.8683965624713429e-02
25;6.3714843339544449e-06;4.5124239004975831e-04;1.5510195290728258e-02;3.4011104655748331e-02
26;2.4449539152705492e-06;3.8895270953862070e-04;9.8456625832284983e-03;2.8267460104362492e-02
27;1.7523147076751812e-06;5.8081261489077002e-04;1.4219700608805057e-02;4.0022880440134287e-02
28;5.5245737983331292e-06;1.2741207791604581e-02;3.0727060812064368e-02;2.0013327595347469e-01
29;2.5663152496979120e-06;1.4528585473699555e-04;7.9962310077376711e-03;1.0585764439593501e-02
30;1.8308992220484406e-06;2.0327107731051860e-04;3.3953187715016790e-03;1.6566313437632475e-03
31;4.4138770384363246e-06;7.3282440001388224e-05;5.0010974361760687e-03;1.8124796795407072e-03
32;3.8581046045266484e-06;4.5522328112828379e-05;4.8212729570554762e-03;1.7602175787439708e-03
33;1.0363771282319810e-05;2.1631385538722827e-04;1.3813172693483981e-02;6.5633704588702168e-03
34;1.1525453067970675e-05;7.1534697980958953e-04;1.4168785146882322e-02;8.4376339966774315e-03
35;4.7283368876545182e-06;6.0572574758049370e-04;8.7049980845710501e-03;6.2585722509375351e-03
36;2.6380689233422058e-06;7.6912625005682976e-05;4.3605045283865397e-03;1.2236551174808477e-03
37;6.5323176037745444e-06;1.1355280949869404e-04;6.3679964720201156e-03;3.7609412565135399e-03
38;7.0293975091967117e-06;1.0308947391424142e-04;6.3525451783325772e-03;3.8076237920493549e-03
39;2.6419594792817231e-06;6.7490760308586197e-05;4.2613577363647950e-03;1.2386934318348716e-03
40;1.7274052480309853e-06;6.8884837076457631e-04;3.3071386825458951e-03;1.4876695363069117e-03
41;7.3427538160401714e-07;2.0678571334313876e-04;1.5790721724429895e-03;1.0887497596209741e-02
42;2.4182503010036010e-06;1.8747492630997491e-04;2.5988005228627102e-03;8.7132470139312263e-03
43;3.0240257369415931e-06;1.5062185115801995e-02;3.0741638402241766e-02;2.0137575199297053e-01
44;4.4197664407636974e-06;9.7507514291353333e-05;4.3882165151319296e-03;2.0510000562933141e-03
45;2.5670634300447239e-05;1.0154468622992879e-03;1.9834909053171434e-02;1.4451409597223847e-02
46;9.2358957334699875e-05;5.6083608454946098e-03;5.3842195211137492e-02;1.6650500219112024e-01
47;3.6199242507289691e-05;5.6331202044950105e-03;3.8399943127380355e-02;8.4667047050923455e-02
48;3.8222851204614162e-06;1.4844002002329813e-04;4.4089530568565526e-03;1.7791130073231763e-03
49;3.1226828197932063e-06;1.1052569217377377e-04;3.0375411264271408e-03;1.6096034434462119e-03
50;3.2933142154533395e-06;8.5058132582037198e-05;4.8428722557143028e-03;1.4087771814124588e-03
51;5.8417648552052528e-06;1.5664163188364790e-04;7.2830149097931991e-03;5.5591885072353905e-03
52;1.2782015076032556e-05;3.5122201687819545e-04;1.5932075120270742e-02;8.0374984219336032e-03
53;3.9787704655524220e-06;3.8316007596189916e-05;4.7587962742328994e-03;2.1173110237042918e-03
54;3.5561354725783076e-06;3.4219719476528851e-04;3.1043647082652339e-03;4.7254203219298241e-03
55;3.6437780753667008e-06;1.3936363381443961e-04;5.0293942429960629e-03;1.4155377895156826e-03
56;1.2598993667107535e-05;5.9261614668531669e-04;1.7178709097855259e-02;1.3409398493735847e-02
57;3.4895476811751090e-05;2.6177425884391973e-03;4.4022648688137322e-02;6.8501896713407215e-02
58;2.1560422765701438e-05;1.1230018146912466e-02;3.0201917111069565e-02;2.5872342480682334e-02
59;6.4785079853615555e-06;1.2390288437901301e-03;5.9031305321702752e-03;1.1631117997994718e-02
60;1.9510662558741190e-05;7.8653914499925148e-03;2.9913862979583282e-02;7.9305929382037482e-02
61;5.1761517991180424e-06;2.0149131244632534e-04;5.8105364912779314e-03;1.2847006150653265e-02
62;4.5057915999709384e-06;2.7221383957241442e-03;1.0083632196390781e-02;2.8444747856107660e-02
63;3.6963682903322239e-06;2.8589210419233818e-04;2.8993617999991438e-03;4.9296375214458420e-03
64;1.8706420240532599e-06;9.2337734904608882e-05;2.6851528423416648e-03;4.4085598321035868e-03
65;4.1103287193907049e-06;1.1833894518826119e-04;2.2785868061444546e-03;6.3124407998858606e-03
66;4.1628131193910192e-06;1.4068176313527484e-04;2.4727037753483482e-03;5.9178229845839921e-03
67;2.7199792710377379e-06;3.0569679097898200e-05;1.8151588238876351e-03;6.4869825140943744e-03
68;2.8693704215627634e-06;2.0196131741621709e-05;2.1812310213731073e-03;6.2186003610958385e-03
69;3.9390818384088955e-06;2.1584421635890857e-04;2.6845324505357362e-03;5.5941979824125276e-03
70;2.4035212301828423e-06;1.4358534455948599e-05;2.1218003485763120e-03;5.0487426245740827e-03
71;1.5575333081765778e-06;5.8077505506772719e-05;2.5163592476581897e-03;3.2955406498457913e-03
72;1.7550439061141461e-06;5.3366740595666313e-05;1.1217131014203139e-03;4.8121838009719062e-03
73;3.5425107615968604e-06;3.6201488940351944e-04;3.2873784255773439e-03;4.3258139743078093e-03
74;1.2498337928334258e-05;6.6615286079182174e-03;3.2406286597026358e-02;1.9837554323245971e-01
75;3.7664483623986272e-06;3.3956354588272311e-04;3.4323940134555571e-03;3.9512483116116871e-03
76;2.5671789883750833e-06;1.1638881249218411e-05;3.2419892449592762e-03;1.2190615413965468e-03
77;3.9890354954152172e-06;2.8874927186028264e-04;3.5350138959995051e-03;3.9751117752405462e-03
78;4.0701322371456365e-06;2.7775921292509073e-04;3.5899864206582147e-03;3.9080833211966757e-03
79;1.4869275051071381e-06;4.0398742852590200e-06;1.9767907090877594e-03;6.7773566604900962e-04
80;1.3628156307941269e-06;1.4981201306628855e-05;1.8099964951717054e-03;7.0211940058482200e-04
81;3.0649820536332803e-06;2.3628285513212211e-04;1.9833904931441963e-03;7.2703241465161715e-03
82;3.5761619913567102e-06;2.2248339213038680e-04;2.1159804686521838e-03;6.1315994034792272e-03
83;6.8322979806467178e-07;8.2136404747046047e-05;7.6363279553725660e-04;5.6879279134612517e-03
84;2.6836614966556115e-06;3.5974115979922074e-04;1.8889975122784891e-03;7.0310209522521944e-03
85;2.3005867299537812e-06;4.4365069587445975e-04;1.8450959675271946e-03;7.0647710361870552e-03
86;8.3746121418565114e-07;1.3868715191122334e-04;1.3133877677902585e-03;9.5845492923876934e-03
87;2.1565259435814312e-06;4.5094421715190579e-05;2.7693757941132258e-03;1.2398999352763349e-03
88;7.0335295607146368e-07;1.9445781256275272e-04;1.5804303085787483e-03;1.0873566146646732e-02
89;9.3378497221341831e-06;2.7444559582804522e-04;6.6586793319817483e-03;5.2683284328798579e-03
90;1.5105497618385217e-05;6.1465919883204180e-04;1.0461116960861525e-02;8.8872891871028571e-03
91;1.9975794284314181e-05;2.0139104342067175e-04;1.1398500671733439e-02;9.6207408491207295e-03
92;1.8770069757036646e-06;2.1496594817406510e-04;4.0938192300002847e-03;2.6980925538832811e-02
93;1.6819516103267010e-06;4.1053877448822627e-04;4.2159159723379339e-03;1.3568859845454577e-02
94;4.3507677369680263e-06;1.0547493996516436e-03;1.6163774218967565e-02;3.4190733278932316e-02
95;3.8805527731383470e-06;4.1712716395435968e-04;4.7685909389166836e-03;1.0594984864763962e-02
96;3.7853214883445258e-05;2.1448460341361628e-03;2.1364421987379638e-02;3.6743031611819271e-02
97;1.5308652908518262e-06;1.2472877271016791e-04;4.0877173415694882e-03;2.8433744120582166e-02
98;8.6997650589284838e-06;1.3873977520020814e-04;7.4241839292369296e-03;4.5998992264706055e-03
99;1.5231379811275239e-06;3.3211114698587100e-06;1.9754791222657280e-03;7.1119958002507206e-04
100;4.1458430528936681e-06;2.7380730379015741e-04;3.5877115955849814e-03;3.9150352017562218e-03
101;1.0780095294218995e-06;5.8973647760359106e-06;1.4284640376996116e-03;5.3387883037627881e-04
102;1.4494904747615424e-06;1.6579410669928339e-05;1.8068886231114426e-03;7.4869794540058463e-04
103;4.2301771768732011e-06;2.7350908807074423e-04;3.5278154388454670e-03;4.0034511660070578e-03
104;2.7164598902105293e-06;1.2877771890369207e-05;3.2367663120416576e-03;1.3121583116817092e-03
105;1.0597796563639200e-06;4.1753506792260513e-06;1.4291288063213270e-03;5.2969805645593508e-04
106;1.6022611736173439e-05;3.1459067883672013e-04;1.5822601790025613e-02;9.3038653586646359e-03
107;4.3572697510147323e-06;5.0486561577111627e-05;4.7460443664613661e-03;2.3087677633524899e-03
108;1.6068427697723302e-06;1.4119825872911787e-05;1.5392157108606924e-03;1.6413544228123518e-03
109;4.1959011821549140e-06;2.9512143150114137e-04;3.4194998233788732e-03;4.0024846379929551e-03
110;2.4111600121053617e-06;4.6046571166927522e-05;2.7604700826224663e-03;1.3536463865090817e-03
111;4.3995527749727616e-06;2.9693878602372897e-04;3.2621030596564184e-03;4.8425705510682440e-03
112;3.1043751559247413e-05;4.5656083285604114e-04;1.9476543800103420e-02;1.6298664348429862e-02
113;1.1352165845242239e-05;2.3363544934635005e-04;6.2258800855650442e-03;9.6525924431393913e-03
114;2.8924145408985067e-05;1.5150994202994506e-03;1.3718994548459512e-02;3.7272687839045554e-02
115;4.0411854419978694e-05;1.3688565444588822e-03;2.3345321040949545e-02;3.7161065650391553e-02
116;5.0616396367477261e-06;4.6292712827028832e-05;4.7816731526904499e-03;2.3347025356612486e-03
117;2.1403170868065985e-05;1.2474098769224833e-02;2.9009963054053005e-02;3.1663479476067430e-02
118;1.4842327897466154e-05;1.8002942343637652e-04;1.2148569999297372e-02;7.5537603966120996e-03
119;9.2994671531262785e-06;6.4289154403672187e-03;1.5028751645348665e-02;1.3867720024736657e-02
120;9.0049278365785851e-06;6.3468674534487230e-03;1.5011224508419980e-02;1.3958531622281032e-02
121;3.0756823311833383e-05;3.8384739152541943e-03;1.9756460722131594e-02;3.7846955618148007e-02
122;2.2378141243710669e-06;1.4108425353485591e-03;5.2733775330111631e-03;1.9934844688785550e-02
123;2.4316138525451618e-06;3.0070273403922553e-04;6.1591685390176322e-03;3.9275502770420828e-02
124;4.9762615250414616e-06;3.3599134613957835e-03;1.1415182433176241e-02;1.6657663556579144e-02
125;1.8517492618425380e-06;2.5723497212468886e-04;5.2659859468500506e-03;3.7923820021468158e-02
126;5.2483242848374816e-06;3.0100904451153010e-05;4.9739393503648067e-03;2.3237871580324321e-03
127;4.0961825740331261e-06;3.7623829449506782e-05;5.0117918922155755e-03;1.8530178048419576e-03
128;4.4710378421481875e-06;4.8786286053393920e-05;4.3863870852648415e-03;2.2804517934634991e-03
129;1.1747490495991867e-05;4.6845830155899169e-04;1.0874280728122306e-02;8.4815456925393159e-03
130;5.3385261955825390e-05;1.8878712682700663e-03;3.6766877892323094e-02;3.5090510918319454e-02
131;2.3672288792582526e-05;1.3162244850610158e-03;2.5854388556921050e-02;1.9777669014946583e-02
132;3.2724978584653883e-05;1.9366663020885320e-03;3.5081738641370493e-02;1.1545358022701119e-01
133;1.6975878882646032e-05;2.9393172079423538e-04;1.4280498204460045e-02;1.2394231638854482e-02
134;3.6307313839777969e-06;3.3202629193079743e-05;4.4139714402751766e-03;1.9065352348717067e-03
135;3.9709936287718858e-06;3.8868977933766553e-05;4.8173015606278371e-03;1.8858576786288730e-03
136;1.1491419024796281e-05;7.2473374102885579e-03;3.2488034359520197e-02;2.1254805606658259e-01
137;1.5632250919672659e-06;1.9001700109310234e-04;4.1085143772943171e-03;2.6934266170353591e-02
138;8.0835375997740766e-06;2.1174866691577843e-03;5.3063086936616143e-03;7.2204179480196999e-03
139;4.8711849784793702e-06;2.1271865079412519e-04;3.0677430390117465e-03;4.7448459318280211e-03
140;4.3825464450015295e-06;2.0213506914552816e-04;2.4674734806745501e-03;4.8015184902126850e-03
141;2.8880493821458683e-06;3.6053754668939348e-04;1.8835744544576888e-03;7.0361449722254081e-03
142;2.3642852011737493e-06;4.4759617907143084e-04;1.8432580865482525e-03;7.0694055977067981e-03
143;9.2631520718327964e-07;1.6380535492899591e-04;1.3101322406979077e-03;9.6083083274290416e-03
144;3.8869384619215402e-06;1.8386890821657856e-04;2.2841898906270528e-03;5.9566516035814369e-03
145;3.4158380549911604e-06;2.1703436524111167e-04;1.9745773187359156e-03;7.2609514473039975e-03
146;3.6568221087888676e-06;1.8410919179961082e-04;2.1140783229923760e-03;6.9662619273327666e-03
147;1.0657591258233060e-06;5.9589000447114820e-05;9.7387458614133372e-04;3.5517904580769453e-03
148;3.7289166946376081e-06;2.1336825740414620e-04;3.0821690916306840e-03;1.9705902115428837e-02
149;1.3468397972434121e-06;1.7280730027787635e-04;1.3021974622060583e-03;3.4862117862379041e-03
150;7.7788577934902255e-07;9.7867581566280434e-05;7.6069598574742404e-04;5.6968884640017006e-03
151;5.1726474831424784e-06;1.5443739671921274e-04;2.8607859559063691e-03;4.8837959706508833e-03
152;6.3070112286417863e-06;1.3620205715933188e-04;4.1537674391914758e-03;6.9253405098179139e-03
153;2.2018865147715081e-06;1.2411795657370315e-05;1.8431448572639167e-03;2.4822236670641552e-03
154;6.8293601472493256e-06;2.9336434982369641e-05;3.9067611431926920e-03;6.2680601846023783e-03
155;5.7660547644718164e-06;1.6443623155363831e-04;3.8840034071246270e-03;7.1272715453606934e-03
156;1.0228338666980535e-05;1.4093132576815712e-04;7.4334007225690234e-03;8.7191422376214252e-03
157;2.2481593282824006e-06;3.9022166250325518e-05;1.6137092037800324e-03;2.7985786798117029e-03
158;5.3909119320403942e-06;1.2503000723194590e-04;3.6692988585844445e-03;5.9765618979714949e-03
159;8.2822107672422665e-06;3.7306835587454061e-04;6.8621272736130254e-03;8.4981637703013986e-03
160;1.8417026791960364e-06;2.2740723343442961e-04;3.1309700203394231e-03;5.7838713587540719e-03
161;4.1990951635863548e-06;2.7114951873804531e-03;4.9809853897320915e-03;6.5294192127908646e-03
162;1.1257466951737347e-06;2.2245324694193771e-03;4.6598986436745780e-03;7.9036659177145648e-03
163;2.2891244851637311e-07;3.2857477337514207e-04;2.8614268805595734e-03;5.8085354916333773e-03
164;6.1687020874288999e-05;2.4279119461133114e-03;3.4233190622968881e-02;6.7738991542713956e-02
165;3.6859191524729800e-06;3.7783574237419924e-05;3.4072537226035194e-03;7.1509877134133693e-03
166;1.0141220807944884e-05;1.7161862927229034e-04;7.1428876198350042e-03;8.4154133244974446e-03
167;1.8704425644800760e-07;1.1819461099601308e-04;2.5601261825754077e-03;8.6700079684316513e-03
168;1.0776957385611778e-06;3.9777354978078177e-05;8.4137345545769529e-04;1.5687809252968800e-03
169;1.4243366999555219e-06;1.3900918602546532e-04;1.2799600350854843e-03;2.6713588809290714e-03
170;4.9039974367374298e-06;1.4250860988318469e-03;5.9345967412235750e-03;1.2747412624336816e-02
171;1.5167232264738388e-05;1.7462812772316708e-02;2.9713004705834295e-02;2.1470679357537843e-02
172;1.3942157304157872e-05;2.0650763193216230e-02;4.8272930962506629e-02;2.6501575238795583e-01
173;1.4262345186280506e-06;3.8027978964500341e-03;3.8373137766934830e-02;2.9112618661704476e-01
174;5.0039295042489412e-06;1.6887145176522068e-04;2.6579984075032976e-03;4.3869150431602548e-03
175;1.6314936902785930e-07;6.3277722524556954e-04;4.2861950461677645e-03;1.3811055666246214e-02
176;9.0344315614655343e-06;1.3704892268584009e-02;3.4947662457104380e-02;2.2151226148130312e-01
177;9.9408055148549296e-05;1.7911187588293617e-02;6.6199907845373440e-02;1.0079126927782478e-01
178;1.3553687482616218e-04;4.9154834808622649e-03;5.9592818795893246e-02;8.1118371292486280e-02
179;3.3621037984102011e-05;7.9293467770571151e-03;4.2266748551336039e-02;6.5155936621938082e-02
180;2.1825953926765801e-05;7.3215102869682962e-03;3.8598121766716835e-02;8.5145783228863903e-02
181;5.5748387469284040e-04;3.6668964127419212e-02;2.3479698529949389e-01;7.1800159293352103e-06
182;2.3949182379906815e-04;8.7299742696608992e-03;8.8629430978927226e-02;1.7740689218713895e-01
183;1.1727913501595199e-04;1.1975058102892573e-02;5.2829258947698091e-02;7.8877643968780983e-02
184;9.3249167246909953e-05;6.5461886265257355e-03;5.5469243403885427e-02;9.7596390511394862e-02
185;8.2726116533159865e-05;1.9465504588180214e-02;6.2904625676581949e-02;9.4477496308840309e-02
