Cell2D_Index;NumQuadPoints_Boundary;NumQuadPoints_Internal;PiNabla_Cond;Pi0k_Cond;Pi0km1_Cond;PiNabla_Error;Pi0k_Error;Pi0km1_Error;HCD_Error;GBD_Error;Stab_Error
34;3;3;6.0151839618961827e+00;6.0151839618961827e+00;1.0000000000000000e+00;3.2069402711974292e-16;4.1066685459567950e-16;0.0000000000000000e+00;2.7000969266554360e-17;3.0007705824999824e-16;6.0107457854161757e-32
35;3;3;8.4134682041741318e+00;8.4134682041741282e+00;1.0000000000000000e+00;1.4367867479692555e-16;1.9460937927876800e-15;1.1102230246251565e-16;3.6502192173011030e-17;7.3836867027281295e-17;5.5110431635033307e-32
36;3;3;1.1259036087260853e+01;1.1259036087260851e+01;1.0000000000000000e+00;3.2101916055108042e-16;2.2485192781232611e-15;6.6613381477509392e-16;1.4131955585258423e-16;2.6580532651575090e-16;1.8582578575737722e-31
37;3;3;1.5668381800609218e+01;1.5668381800609199e+01;1.0000000000000000e+00;3.5877056449753545e-16;2.8896473602994015e-15;2.2204460492503131e-16;1.4066539449354461e-16;4.0524135941676556e-16;2.9958780222812338e-32
38;3;3;1.6508442995649574e+01;1.6508442995649585e+01;1.0000000000000000e+00;2.3332299449764028e-16;5.5485239979979899e-15;4.4408920985006262e-16;1.2463548810763535e-17;2.9035005338803119e-16;5.3342407395920322e-32
39;3;3;1.0848810402559240e+01;1.0848810402559232e+01;1.0000000000000000e+00;4.0723287886410181e-16;8.0347477705190072e-16;4.4408920985006262e-16;1.3343444841609211e-16;2.7492135337736335e-16;8.9411982745715634e-32
40;3;3;7.6961689837247764e+00;7.6961689837247720e+00;1.0000000000000000e+00;2.0989437219196239e-16;4.3030467663811129e-16;2.2204460492503131e-16;1.4942781161292507e-16;3.0992066495662014e-16;4.1813461938240297e-32
41;3;3;5.0329065897244227e+00;5.0329065897244263e+00;1.0000000000000000e+00;1.1555567610933196e-16;3.0792848346436696e-16;1.1102230246251565e-16;1.6762263357128028e-17;1.5086401413146303e-16;2.6212695212912815e-32
42;3;3;4.6690063871662275e+00;4.6690063871662248e+00;1.0000000000000000e+00;2.7253751702937050e-16;4.4126128017031991e-16;0.0000000000000000e+00;1.9371710903137268e-16;9.2006868877222396e-17;8.1346542776374324e-32
43;3;3;6.2571980127922693e+00;6.2571980127922737e+00;1.0000000000000000e+00;2.9384836610380157e-16;3.0150937917273548e-16;2.2204460492503131e-16;1.1163939434999144e-17;1.0545006797274332e-16;1.5219848447718789e-32
44;3;3;5.5477654800225826e+00;5.5477654800225844e+00;1.0000000000000000e+00;1.8549918689772906e-16;1.8094421531119201e-16;0.0000000000000000e+00;1.8055956163856959e-16;1.0392974095638330e-16;8.5042957126453926e-32
45;3;3;3.7867249990845080e+00;3.7867249990845124e+00;1.0000000000000000e+00;1.5802813550827323e-16;3.4415794568746342e-16;2.2204460492503131e-16;1.3739076042460829e-16;2.0527310946031012e-16;6.3258400255349567e-33
46;3;3;7.4859972777956987e+00;7.4859972777957049e+00;1.0000000000000000e+00;4.1185711096435596e-16;1.3525919753710831e-15;1.1102230246251565e-16;3.1735925254314445e-17;2.7388503315968666e-16;1.5437544752414360e-31
47;3;3;2.7055668180807468e+00;2.7055668180807464e+00;1.0000000000000000e+00;7.1664588082487647e-17;1.1245861446835832e-16;0.0000000000000000e+00;3.5572049821008624e-17;1.0214446757843503e-16;1.5700967438853872e-32
48;3;3;3.5758506790154723e+00;3.5758506790154732e+00;1.0000000000000000e+00;1.8606071791316021e-16;2.4624113063375801e-16;1.1102230246251565e-16;6.2626259005819101e-17;2.8594831221253228e-16;9.4735730903135402e-32
49;3;3;3.0274075043300095e+00;3.0274075043300108e+00;1.0000000000000000e+00;1.1583312110919635e-16;3.1083353349248910e-16;0.0000000000000000e+00;1.9955536943683935e-17;1.5341491039007472e-16;6.6006945341612103e-32
50;3;3;6.8804373639825904e+00;6.8804373639825922e+00;1.0000000000000000e+00;2.4037033579794551e-16;1.5787368807677658e-15;4.4408920985006262e-16;2.4398318662862409e-17;2.3062310681998866e-16;7.0208061192933681e-32
51;3;3;3.6136646142188984e+00;3.6136646142188988e+00;1.0000000000000000e+00;1.9379276022481102e-16;4.3481274460854257e-16;2.2204460492503131e-16;4.1317306218069323e-17;0.0000000000000000e+00;4.8206951534896107e-32
52;3;3;3.5349799965781412e+00;3.5349799965781403e+00;1.0000000000000000e+00;1.4883617407909955e-16;1.7646495342790058e-16;2.2204460492503131e-16;2.1011044855002580e-16;3.2377067631575466e-17;6.6394358776105670e-32
53;3;3;1.3199417282607262e+01;1.3199417282607298e+01;1.0000000000000000e+00;6.1904112196561733e-16;3.4090548709036792e-15;1.1102230246251565e-16;3.3048424697322091e-17;5.2907739830587987e-16;2.9165736408749092e-31
54;3;3;3.8789508803919892e+00;3.8789508803919936e+00;1.0000000000000000e+00;2.2979248352729493e-16;1.4710755104013582e-16;0.0000000000000000e+00;2.4932841272954136e-16;2.0238174899046115e-16;1.0029278674664797e-31
55;3;3;2.0547825577649047e+02;2.0547825577656198e+02;1.0000000000000000e+00;4.6621329477812231e-15;1.3899816186281940e-11;1.5543122344752192e-15;1.5327911864116234e-15;1.1528435013566135e-16;2.8598245769013634e-29
56;3;3;1.2153808841434165e+01;1.2153808841434168e+01;1.0000000000000000e+00;4.3184976123820816e-16;1.2679013071134620e-15;2.2204460492503131e-16;1.3156101243574188e-16;3.5931789269946838e-16;7.1009444890441991e-32
57;3;3;8.6396262830570976e+00;8.6396262830570993e+00;1.0000000000000000e+00;4.0823661993298545e-16;1.0601757946418090e-15;0.0000000000000000e+00;3.2980773172327862e-17;3.7612379142265897e-16;7.4753677802116595e-32
58;3;3;5.9631540621381269e+00;5.9631540621381207e+00;1.0000000000000000e+00;1.9454700141934854e-16;4.4268203509454962e-16;1.1102230246251565e-16;1.6039354934560431e-16;2.6589713685705801e-16;2.5661332105067844e-32
59;3;3;6.9930828459111005e+00;6.9930828459111050e+00;1.0000000000000000e+00;3.6268583540255364e-16;4.6678354124262920e-16;2.2204460492503131e-16;2.8535161598528726e-17;3.5624091596149101e-16;1.4749843102102580e-31
60;3;3;4.7509623055143999e+00;4.7509623055143964e+00;1.0000000000000000e+00;1.6203963992949169e-16;3.7997440461724497e-16;2.2204460492503131e-16;4.9246110065643966e-17;2.1647518720893882e-16;2.3517766651611173e-32
61;3;3;3.5863861735636369e+00;3.5863861735636351e+00;1.0000000000000000e+00;1.1089574007022391e-16;2.8447349410924240e-16;0.0000000000000000e+00;1.6039101817682517e-16;1.7989327608045200e-16;3.7462524949061129e-32
62;3;3;6.8009324220172731e+00;6.8009324220172784e+00;1.0000000000000000e+00;4.8868733675430679e-16;8.6325343506309581e-16;0.0000000000000000e+00;1.4026106663069241e-16;4.7198167395687239e-16;1.1712026583136505e-31
63;3;3;5.1341349985189755e+00;5.1341349985189719e+00;1.0000000000000000e+00;1.4860685278828938e-16;3.7589767258285897e-16;0.0000000000000000e+00;7.5129970103243569e-17;1.5966938954832004e-16;1.5371139526488556e-32
64;3;3;9.0118107933047629e+00;9.0118107933047646e+00;1.0000000000000000e+00;1.5558448505078222e-16;1.0027361944778728e-15;4.4408920985006262e-16;2.8659634279999741e-17;1.7492192312479306e-16;3.0381608059145287e-32
65;3;3;4.7033278710992867e+00;4.7033278710992867e+00;1.0000000000000000e+00;2.3221980631040627e-16;4.8868733675430679e-16;0.0000000000000000e+00;1.1878042574733793e-16;2.2837333274217837e-16;7.1980629313445242e-32
66;3;3;5.8573547305634213e+00;5.8573547305634230e+00;1.0000000000000000e+00;1.8497933761715089e-16;5.4436790939251990e-16;0.0000000000000000e+00;1.5548866391363732e-16;1.4692290540163532e-16;5.0191050682603410e-32
67;3;3;1.1169255014951407e+01;1.1169255014951405e+01;1.0000000000000000e+00;3.1452917428545645e-16;4.7967116933318164e-16;2.2204460492503131e-16;2.6931789044711906e-16;2.7115342338499017e-16;2.5792240812630865e-31
68;3;3;5.3788461370350857e+00;5.3788461370350884e+00;1.0000000000000000e+00;2.1573897883636653e-16;3.9553724116580539e-16;2.2204460492503131e-16;5.4678045464548622e-17;2.8621956684784995e-16;6.3128530000709637e-32
69;3;3;2.9241335447841146e+00;2.9241335447841159e+00;1.0000000000000000e+00;3.0235322834985704e-16;4.2766709839777778e-16;2.2204460492503131e-16;2.2153423496364727e-17;3.0002123231323340e-16;9.6347775339056680e-32
70;3;3;2.2006306200370872e+01;2.2006306200370918e+01;1.0000000000000000e+00;6.1923553832729805e-16;1.7238573679755471e-14;0.0000000000000000e+00;1.9786114667570188e-16;2.1155005251207006e-16;2.7790633010300125e-32
71;3;3;4.9404511474059110e+00;4.9404511474059110e+00;1.0000000000000000e+00;1.4533076660998760e-16;3.4703720144822391e-16;3.3306690738754696e-16;2.1712035806448685e-16;2.2331411964478347e-17;5.7899732706892032e-32
72;3;3;7.5183614682200606e+00;7.5183614682200739e+00;1.0000000000000000e+00;3.1618478239537946e-16;3.9702056481490083e-16;2.2204460492503131e-16;3.4287366518419807e-17;2.3528910922457964e-16;7.6809734379792476e-32
73;3;3;1.3854570411382396e+01;1.3854570411382394e+01;1.0000000000000000e+00;5.8067390591759444e-16;8.1729841696794347e-16;3.3306690738754696e-16;1.5832843000250842e-16;1.8173105244591804e-16;3.4147311874888561e-32
74;3;3;1.2110149636054105e+01;1.2110149636054100e+01;1.0000000000000000e+00;2.0603569073715196e-16;5.1028004907222697e-16;0.0000000000000000e+00;1.1442844534776758e-17;1.3894958728290602e-16;3.1984088319562133e-32
75;3;3;5.2223865792031665e+00;5.2223865792031647e+00;1.0000000000000000e+00;3.3967521706035411e-16;2.6564879643165895e-16;0.0000000000000000e+00;2.8932292976080301e-17;2.4704007271820623e-16;7.3010623304286631e-32
76;3;3;3.2077739804835477e+00;3.2077739804835494e+00;1.0000000000000000e+00;2.2276623375273415e-16;2.7265526925652349e-16;1.1102230246251565e-16;6.2787724266349494e-17;2.7931425043244188e-16;6.2221357054064384e-32
77;3;3;1.4973364168945780e+01;1.4973364168945784e+01;1.0000000000000000e+00;1.3018904177817876e-16;1.2134751334839630e-15;0.0000000000000000e+00;4.4631166601270538e-17;2.8824312109220071e-16;1.8989150359716330e-32
78;3;3;4.9235417563011090e+00;4.9235417563011108e+00;1.0000000000000000e+00;3.2061894950496726e-16;3.9065828888746910e-16;0.0000000000000000e+00;1.2098387318647170e-16;2.9482748107969727e-16;9.7420947970466190e-32
