TotProc Type Time
1 CreateMesh 1.06500000e-03
1 SetVariables 1.40000000e-05
1 ComputeGeometricProperties 1.38500000e-03
1 CreateVEMSpace 2.18000000e-04
1 AssembleSystem 3.62800000e-03
1 ComputeVEMPerformance 1.58940000e-02
1 Factorize 2.33000000e-04
1 Solve 1.14000000e-04
1 ComputeErrors 1.13340000e-02
1 ExportSolution 1.71390000e-02
