Cell2D_Index;NumQuadPoints_Boundary;NumQuadPoints_Internal;PiNabla_Cond;Pi0k_Cond;Pi0km1_Cond;PiNabla_Error;Pi0k_Error;Pi0km1_Error;HCD_Error;GBD_Error;Stab_Error
0;3;3;7.8866878487462087e+00;7.8866878487461989e+00;1.0000000000000000e+00;1.8571536129446793e-16;1.0099413479722941e-15;2.2204460492503131e-16;1.6731064146363790e-17;6.4896716826895389e-17;9.3126385022079096e-32
1;3;3;1.3576181452081507e+01;1.3576181452081478e+01;1.0000000000000000e+00;1.8415324172389306e-16;1.7496335325875820e-15;0.0000000000000000e+00;1.9049893716537778e-16;0.0000000000000000e+00;2.2170933741189487e-32
2;3;3;2.7386127875258306e+00;2.7386127875258306e+00;1.0000000000000000e+00;1.8410966031475738e-16;2.2262209511987996e-16;2.2204460492503131e-16;1.4950514515519683e-17;2.0307106261917871e-16;8.7788760944834907e-32
3;3;3;2.0057099191814334e+01;2.0057099191814341e+01;1.0000000000000000e+00;5.7355460412897320e-16;6.3475078315813094e-16;4.4408920985006262e-16;7.4378088024072229e-18;5.7499963109165101e-17;4.6690495007971029e-32
4;3;3;2.1938047807929536e+01;2.1938047807929468e+01;1.0000000000000000e+00;2.9384665928569123e-16;1.2462351327042075e-15;0.0000000000000000e+00;1.6987425557986477e-17;2.2514315416227518e-17;3.3557751424940760e-31
5;3;3;1.3270920005752661e+01;1.3270920005752654e+01;1.0000000000000000e+00;1.8219276896277793e-16;1.1325800426375008e-15;0.0000000000000000e+00;1.5800323169546377e-17;1.7011233395944429e-17;1.9271858980415074e-32
6;3;3;2.7386127875258266e+00;2.7386127875258262e+00;1.0000000000000000e+00;1.8208555044540396e-16;2.9955636795751822e-16;2.2204460492503131e-16;2.7492559574350613e-17;1.2925104306438855e-16;6.5565851688963146e-32
7;3;3;1.0730352125969263e+01;1.0730352125969262e+01;1.0000000000000000e+00;2.8721768623221413e-16;5.3780864457965241e-16;0.0000000000000000e+00;5.6428401261268438e-17;2.2405436635834690e-16;1.3272532043664202e-31
8;3;3;6.9382168281420000e+00;6.9382168281420000e+00;1.0000000000000000e+00;1.5706034733299124e-16;1.9300439116167741e-16;2.2204460492503131e-16;1.7367179423211051e-17;7.3293931428568673e-17;1.1865710410806367e-32
9;3;3;2.7386127875258270e+00;2.7386127875258266e+00;1.0000000000000000e+00;1.8508542653142544e-16;2.5529113299803909e-16;2.2204460492503131e-16;6.2000565300239185e-17;2.0333825901585033e-16;6.9915943430564794e-32
10;3;3;1.2828140913316867e+01;1.2828140913316854e+01;1.0000000000000000e+00;1.9229626863835641e-16;6.6952236299927219e-16;1.1102230246251565e-16;3.1950786072065863e-16;1.3218735555599467e-17;1.7887133233083474e-31
11;3;3;2.7386127875258306e+00;2.7386127875258306e+00;1.0000000000000000e+00;1.8410966031475738e-16;2.2262209511987996e-16;2.2204460492503131e-16;1.4950514515519683e-17;2.0307106261917871e-16;8.7788760944834907e-32
12;3;3;5.0491058217513256e+00;5.0491058217513238e+00;1.0000000000000000e+00;2.6719246925391509e-16;8.5548429492723573e-16;0.0000000000000000e+00;2.7821377176337140e-16;1.6236617111833099e-16;7.2773334780856998e-32
13;3;3;4.6274317264260016e+00;4.6274317264259990e+00;1.0000000000000000e+00;7.4841474163235275e-17;3.8033325944450961e-16;2.2204460492503131e-16;5.0995759940706788e-17;5.3582592178384954e-17;5.1897923289397896e-32
