Id;error_L2;error_H1;norm_L2;norm_H1
0;5.4033485425007325e-09;1.8952572046482199e-05;3.6518581254343786e-03;6.3778139856219655e-03
1;4.0103499549252787e-10;3.8047470643923154e-06;1.6940408725070310e-03;6.2295768734329376e-03
2;5.0030242175286823e-09;1.5712352728424880e-05;2.2263934376915888e-03;1.1084253512782739e-02
3;1.2085991476224290e-08;4.1373422760651226e-05;3.7761880977742325e-03;2.2342842785209319e-02
4;1.2192670257883008e-08;2.1766002914182257e-05;3.8039213638919279e-03;1.7318862454333568e-02
5;2.9855407141124509e-09;5.8338036520213123e-06;1.8344147556845149e-03;7.7501075675783394e-03
6;3.5473102683114365e-09;1.4872339621183829e-05;2.7273694166073661e-03;1.6167721901428976e-02
7;2.7796747639643260e-10;8.4674994785962280e-06;1.5121768060407947e-03;1.6483849051498484e-02
8;2.0816814242740082e-09;1.7397574135275281e-05;2.2606337761463600e-03;2.2532451125052127e-02
9;2.1353407601607496e-09;1.2685897708569673e-05;2.1625439161339186e-03;1.5307498932646111e-02
10;1.2978199236335058e-09;1.6905123513195594e-05;2.1468016942852832e-03;2.3151555720751393e-02
11;7.2265699604510312e-10;1.0587377252455903e-05;1.9990074382643741e-03;1.8058261940535628e-02
12;3.0039658141839584e-10;2.1035855363660535e-06;1.4423841901495939e-03;1.1100448242299298e-02
13;2.6117251022813326e-10;3.4688474618105235e-06;1.0895641542788366e-03;7.8534638948480756e-03
14;1.0701880778731761e-09;1.6752259466653592e-05;1.9123176994503281e-03;1.7684890978794908e-02
15;5.0261044205002640e-10;6.4064558449786033e-06;1.0762666570017509e-03;1.0832695200673852e-02
16;1.0458261880315873e-09;1.2576985118173109e-05;1.3201665364920650e-03;9.0428617982355047e-03
17;7.1896496823801098e-10;1.3684223407238445e-05;1.4299386381518178e-03;1.0829991218469458e-02
18;2.3018047829678585e-09;2.7251454455934883e-05;2.0424440291792641e-03;1.7660523749484309e-02
19;3.7139786258088788e-09;2.5291794073181666e-05;3.1290463610263025e-03;1.5342327804519572e-02
20;9.1982009510197270e-10;8.4167899482465442e-06;1.7162436596151881e-03;6.0186291291240371e-03
21;2.8708867502864295e-09;1.6329055737584631e-05;2.4079275519262714e-03;8.6190955071661218e-03
22;9.8877419520580136e-10;5.0657533192387392e-06;1.7445911419438432e-03;7.5884437462856932e-03
23;7.0815523268237520e-10;4.7560779225521488e-06;1.9443297068734954e-03;7.0069874703842863e-03
