Cell2D_Index;NumQuadPoints_Boundary;NumQuadPoints_Internal;PiNabla_Cond;Pi0k_Cond;Pi0km1_Cond;PiNabla_Error;Pi0k_Error;Pi0km1_Error;HCD_Error;GBD_Error;Stab_Error
0;7;12;5.5513693949178498e+00;5.5513693949178471e+00;1.0000000000000000e+00;2.3457712280031992e-16;3.5612849125064820e-16;2.2204460492503131e-16;1.7017586388375666e-16;1.2290064981597740e-16;1.4028553874836378e-16
1;6;6;5.4160102212232886e+00;5.4160102212232841e+00;1.0000000000000000e+00;7.2222297568332486e-17;6.5215759551316627e-17;0.0000000000000000e+00;1.4866890990241123e-16;2.0084711281084537e-16;1.3450540663886933e-16
2;4;6;2.8315419720092825e+00;2.8315419720092834e+00;1.0000000000000000e+00;1.2844765415108726e-16;3.0782422462153951e-16;2.2204460492503131e-16;1.9170638391226570e-17;1.7262278032235097e-16;6.2063353831181828e-17
3;8;12;7.8244653375938071e+00;7.8244653375938062e+00;1.0000000000000000e+00;2.9417418678021328e-16;2.6504394866045225e-16;1.1102230246251565e-16;2.1419608013974131e-16;2.7453448132074621e-16;6.5532436853349118e-16
4;7;12;3.6789065264260525e+00;3.6789065264260525e+00;1.0000000000000000e+00;1.3147327200186143e-16;2.3052902073911494e-16;0.0000000000000000e+00;2.9360671529516019e-17;2.3273437162192528e-16;3.6410317824918915e-16
5;7;12;4.6317512992446117e+00;4.6317512992446117e+00;1.0000000000000000e+00;2.3346052648394070e-16;2.8900028014102882e-16;0.0000000000000000e+00;1.3494679928405000e-16;2.6472112463597593e-16;3.1918911957973251e-16
6;8;6;3.8072440753464298e+00;3.8072440753464312e+00;1.0000000000000000e+00;3.2853055256201270e-17;3.4520561309016979e-17;0.0000000000000000e+00;3.0282778614861632e-16;1.3471965340013377e-16;4.1389109429329862e-16
7;8;12;4.0760338709552428e+00;4.0760338709552428e+00;1.0000000000000000e+00;6.5215759551316627e-17;2.0708462061443014e-16;1.1102230246251565e-16;3.9824355054734230e-17;1.6066676107914251e-16;2.6483781411733109e-16
8;11;24;3.7173819221366888e+00;3.7173819221366879e+00;1.0000000000000000e+00;1.5867742359051902e-16;1.6230251825544472e-16;2.2204460492503131e-16;2.3936555919187125e-17;1.5999127171029514e-16;4.4606138208608127e-16
9;8;18;6.2426398463552992e+00;6.2426398463553072e+00;1.0000000000000000e+00;4.9957727105703449e-16;5.3414461697630709e-16;2.2204460492503131e-16;3.9937035298723678e-17;5.7659285986896453e-16;4.4599623333369122e-16
10;7;12;6.4419001664594333e+00;6.4419001664594333e+00;1.0000000000000000e+00;1.9279638981753175e-16;3.9172499067464797e-16;0.0000000000000000e+00;3.4186909638219966e-17;2.4198412703662822e-16;4.0270252029069979e-16
11;10;21;5.1268973936587878e+00;5.1268973936587905e+00;1.0000000000000000e+00;2.4111252272386652e-16;2.9042676676928269e-16;1.1102230246251565e-16;1.6686602082598674e-16;1.4285532576105760e-16;6.5033905971835161e-16
12;7;12;1.2525113346796402e+01;1.2525113346796401e+01;1.0000000000000000e+00;5.4399648537997370e-16;7.4890915723286145e-16;1.1102230246251565e-16;2.2985221201256383e-17;1.6068414670886229e-16;4.8044950997105259e-16
13;8;18;7.9445092947507039e+00;7.9445092947506950e+00;1.0000000000000000e+00;2.6563558012058559e-16;4.6299463011832106e-16;1.1102230246251565e-16;1.6407375929543173e-16;2.0416654277200851e-16;4.5930919510395955e-16
14;8;12;4.7117168781203880e+00;4.7117168781203862e+00;1.0000000000000000e+00;1.2944338730181989e-16;2.6829392775736271e-16;0.0000000000000000e+00;1.2365874714455331e-17;9.2771622297194935e-17;2.5343591624967901e-16
15;5;6;4.4651595457101125e+00;4.4651595457101099e+00;1.0000000000000000e+00;6.6192829094101736e-17;3.1939018361200551e-16;2.2204460492503131e-16;3.7272990346773619e-17;2.2501324740463290e-17;1.9122916832704326e-16
16;7;12;9.1045449264271365e+00;9.1045449264271436e+00;1.0000000000000000e+00;4.3521051045545277e-16;6.2502065173452145e-16;1.1102230246251565e-16;4.3117845973262292e-17;2.1010432549283480e-16;8.7740145841203932e-16
17;8;12;5.1568311860595299e+00;5.1568311860595326e+00;1.0000000000000000e+00;1.8209518970350455e-16;2.1932778426914000e-16;0.0000000000000000e+00;7.3456768493559906e-18;1.7798006519527408e-16;1.8211675260301676e-16
18;7;12;5.2111824304311893e+00;5.2111824304311911e+00;1.0000000000000000e+00;2.0348831367998895e-16;2.0146705333121096e-16;0.0000000000000000e+00;6.4637808741530938e-17;2.6559565268078006e-16;4.7450078041228413e-16
19;6;6;3.3840940581872778e+00;3.3840940581872778e+00;1.0000000000000000e+00;1.8027775184845912e-17;1.9396866740382276e-16;2.2204460492503131e-16;5.6067659538107969e-17;1.0983167924991026e-16;1.7876281231151550e-16
20;10;18;8.1278007261102498e+00;8.1278007261102516e+00;1.0000000000000000e+00;1.7194484820246718e-16;6.6954109042608185e-16;2.2204460492503131e-16;1.4517936895033353e-16;3.5262267378093632e-16;1.0928091868453023e-15
21;9;15;5.8821415657396843e+00;5.8821415657396878e+00;1.0000000000000000e+00;2.0586034947172516e-16;3.1930223367680862e-16;0.0000000000000000e+00;2.4303190530254974e-17;1.2430026295244025e-16;3.9880534377052726e-16
22;5;6;5.8877660595018302e+00;5.8877660595018266e+00;1.0000000000000000e+00;1.8415324172389306e-16;4.3630508315452256e-16;2.2204460492503131e-16;3.2967061557980328e-17;2.7937009583388467e-16;1.5271479273572088e-16
23;5;6;5.7048505308837916e+00;5.7048505308837907e+00;1.0000000000000000e+00;1.8147562384249223e-16;2.3986904153843754e-16;1.1102230246251565e-16;8.5838470861164467e-18;3.4538781238746936e-18;1.6911552168311002e-16
24;6;12;3.6839118654355327e+00;3.6839118654355336e+00;1.0000000000000000e+00;1.4377638216952162e-16;3.4564700811206446e-16;2.2204460492503131e-16;1.2784663395857942e-16;2.0004876690257246e-16;2.0880191358334351e-16
25;9;18;6.4205631259466820e+00;6.4205631259466847e+00;1.0000000000000000e+00;1.3686004456260625e-16;3.6954631979395799e-16;3.3306690738754696e-16;3.0771188370710396e-17;1.2591788294255947e-16;4.3380228264198851e-16
26;6;6;8.1746562034194739e+00;8.1746562034194703e+00;1.0000000000000000e+00;3.6303967532612721e-16;5.0192398442598226e-16;2.2204460492503131e-16;5.2791545297966060e-17;4.3362824615981242e-16;2.1716631763047980e-16
27;5;6;3.2047560297220605e+00;3.2047560297220610e+00;1.0000000000000000e+00;1.4377987049051422e-16;1.4366820220863970e-16;0.0000000000000000e+00;2.7893707454359140e-17;1.3390645628268368e-16;2.1774429320917294e-16
28;8;15;8.1507916549078647e+00;8.1507916549078647e+00;1.0000000000000000e+00;1.1009687364992326e-16;3.1167949405213482e-16;2.2204460492503131e-16;3.3355947607997699e-17;2.4677050032137703e-16;6.6744486099187117e-16
29;7;12;4.6192646387203906e+00;4.6192646387203915e+00;1.0000000000000000e+00;3.0160418063142354e-16;3.9170578498582647e-16;2.2204460492503131e-16;1.1739526966942141e-16;1.5626952904003360e-16;1.5505167649503597e-16
30;4;6;3.3379422809759531e+00;3.3379422809759527e+00;1.0000000000000000e+00;1.8218175734214821e-16;1.4795743881671371e-16;0.0000000000000000e+00;1.6191499608303960e-17;2.2837361473527410e-16;7.4734174503522706e-17
31;6;6;3.7296072500226432e+00;3.7296072500226423e+00;1.0000000000000000e+00;4.3147795767273306e-17;1.3262790113221560e-16;2.2204460492503131e-16;8.0615642993415153e-17;7.8721184037680066e-17;2.2948398469876499e-16
32;7;6;6.5923155423428126e+00;6.5923155423428099e+00;1.0000000000000000e+00;1.6065949585642230e-16;3.3485106233935465e-16;0.0000000000000000e+00;1.6552671621983796e-17;2.0946422215234206e-16;2.4237290460307916e-16
33;7;12;3.7632887393896808e+00;3.7632887393896821e+00;1.0000000000000000e+00;2.4324561616265521e-16;9.7185808817949703e-17;0.0000000000000000e+00;4.3732576552522582e-17;1.2271868265706225e-16;3.8874767020053962e-16
34;9;12;8.6326095911256555e+00;8.6326095911256555e+00;1.0000000000000000e+00;7.2222297568332486e-17;2.1421786405217635e-16;0.0000000000000000e+00;1.4111432526287587e-16;2.9308101180446438e-16;8.2651427491688464e-16
35;8;12;8.8197945993396569e+00;8.8197945993396587e+00;1.0000000000000000e+00;2.4352329654354703e-16;4.2169720727112659e-16;0.0000000000000000e+00;1.6788719127275823e-16;2.4494391721222288e-16;7.9925583995018733e-16
36;6;6;3.6588997316099316e+00;3.6588997316099348e+00;1.0000000000000000e+00;6.5957523297855947e-17;2.6499900258179797e-16;2.2204460492503131e-16;2.3691599001579805e-17;2.5512798988250138e-18;1.8068797645363039e-16
37;5;6;3.9717469886519572e+00;3.9717469886519545e+00;1.0000000000000000e+00;1.4953544437739825e-16;2.7638642037627757e-16;1.1102230246251565e-16;1.2050455196743821e-16;1.2331992692483909e-16;1.3714660368379158e-16
38;9;18;8.2662906777811163e+00;8.2662906777811145e+00;1.0000000000000000e+00;3.2413034655032910e-16;3.0458108609810731e-16;1.1102230246251565e-16;1.5171827845192880e-16;3.4451352508376210e-16;5.0533852601991423e-16
39;9;12;5.0554415336285423e+00;5.0554415336285450e+00;1.0000000000000000e+00;1.9367885279759438e-16;2.7585322146412914e-16;2.2204460492503131e-16;3.8367476497538315e-17;2.7921490921160700e-16;2.9159096890402711e-16
40;6;12;4.0039824205769143e+00;4.0039824205769099e+00;1.0000000000000000e+00;1.8209364040478435e-16;3.1648760880062823e-16;0.0000000000000000e+00;1.7151845853297344e-17;1.3217814903000741e-16;2.1988261588394131e-16
41;7;12;3.9743675218706955e+00;3.9743675218706955e+00;1.0000000000000000e+00;1.3407216768447582e-16;2.7394720324597094e-16;0.0000000000000000e+00;2.0264539052117667e-17;9.3301066558308289e-17;3.0899997776461944e-16
42;10;15;7.4856548175771058e+00;7.4856548175771023e+00;1.0000000000000000e+00;2.4887136050057355e-16;3.6427816204832532e-16;0.0000000000000000e+00;1.9111844697040830e-17;1.6211778163013715e-16;3.4487508229085887e-16
43;7;12;3.9899770417170464e+00;3.9899770417170446e+00;1.0000000000000000e+00;3.0101034857201505e-16;2.8117686125570281e-16;1.1102230246251565e-16;3.8222008923449193e-17;2.1340497167076921e-16;2.9523221327886975e-16
44;9;18;5.9913511669257833e+00;5.9913511669257913e+00;1.0000000000000000e+00;1.8497933761715089e-16;2.4424512283236003e-16;0.0000000000000000e+00;1.4973978080606814e-16;2.0478711235289756e-16;3.4909693714624618e-16
45;9;12;7.0323779753221523e+00;7.0323779753221523e+00;1.0000000000000000e+00;1.6080927167750448e-16;2.4227907220803497e-16;2.2204460492503131e-16;2.6352033203127339e-17;1.7081704839314757e-16;6.3949916859091938e-16
