Cell2D_Index;NumQuadPoints_Boundary;NumQuadPoints_Internal;PiNabla_Cond;Pi0k_Cond;Pi0km1_Cond;PiNabla_Error;Pi0k_Error;Pi0km1_Error;HCD_Error;GBD_Error;Stab_Error
10;4;6;4.0099666118562372e+00;4.0099666118562372e+00;1.0000000000000000e+00;8.0123445265981841e-18;2.9558927891648507e-16;0.0000000000000000e+00;2.5068883622817581e-17;0.0000000000000000e+00;0.0000000000000000e+00
11;4;6;1.0714500918576881e+01;1.0714500918576876e+01;1.0000000000000000e+00;2.5696558254779286e-16;5.5885744095860153e-16;2.2204460492503131e-16;2.8410767073062480e-16;1.4825457799347168e-16;8.5829377472291946e-17
12;4;6;5.3637482900828859e+00;5.3637482900828832e+00;1.0000000000000000e+00;6.4098756212785473e-17;2.2348553247233324e-16;2.2204460492503131e-16;1.4781247735326789e-17;1.5283989913925733e-16;7.0763110837545946e-17
13;4;6;3.3177568346995963e+00;3.3177568346995940e+00;1.0000000000000000e+00;1.2844765415108726e-16;3.1422286435307714e-16;0.0000000000000000e+00;3.9214746417451137e-17;8.1069875347415700e-17;2.7755575615628914e-17
14;4;6;3.9758653038644454e+00;3.9758653038644463e+00;1.0000000000000000e+00;3.6268583540255364e-16;3.7384263574089623e-16;2.2204460492503131e-16;2.4022472714734633e-17;2.5050243660159189e-16;7.0763110837545946e-17
15;4;6;3.2869689193868812e+00;3.2869689193868825e+00;1.0000000000000000e+00;1.4332917616497529e-16;1.8306059388174702e-16;0.0000000000000000e+00;1.7468652126062632e-16;1.1367080747276979e-16;0.0000000000000000e+00
16;4;6;3.6557314104664904e+00;3.6557314104664917e+00;1.0000000000000000e+00;1.8129866073473580e-16;2.5639502485114189e-16;0.0000000000000000e+00;2.3004443557499089e-17;1.1940153173864529e-16;0.0000000000000000e+00
17;4;6;2.9498495676291614e+00;2.9498495676291610e+00;1.0000000000000000e+00;1.6024689053196368e-17;5.1304037436923252e-17;0.0000000000000000e+00;3.6595775359481488e-17;1.1042049988934132e-16;8.0920713114236719e-17
18;4;6;4.4354277475305759e+00;4.4354277475305750e+00;1.0000000000000000e+00;1.2919517348320736e-16;3.9154057717332949e-16;2.2204460492503131e-16;3.6842446095802340e-17;1.3428352845115675e-16;0.0000000000000000e+00
19;4;6;8.8195250644567160e+00;8.8195250644567142e+00;1.0000000000000000e+00;9.2054830157378692e-17;2.6477131637640694e-16;2.2204460492503131e-16;1.6216591082010307e-17;0.0000000000000000e+00;6.3025633755628937e-17
20;4;6;3.9791453525606699e+00;3.9791453525606717e+00;1.0000000000000000e+00;1.2819751242557095e-16;1.8480572956612300e-16;2.2204460492503131e-16;1.2628207456538579e-16;8.8610157479391990e-17;0.0000000000000000e+00
21;4;6;4.1939567784701204e+00;4.1939567784701204e+00;1.0000000000000000e+00;1.8129866073473580e-16;2.8844440295753460e-16;0.0000000000000000e+00;1.7935496704535964e-17;1.2947957615140534e-16;0.0000000000000000e+00
22;4;6;4.2118584039210365e+00;4.2118584039210383e+00;1.0000000000000000e+00;1.3043151910263325e-16;1.9300439116167741e-16;0.0000000000000000e+00;1.2809889324950841e-16;0.0000000000000000e+00;2.7755575615628914e-17
