Cell2D_Index;NumQuadPoints_Boundary;NumQuadPoints_Internal;PiNabla_Cond;Pi0k_Cond;Pi0km1_Cond;PiNabla_Error;Pi0k_Error;Pi0km1_Error;HCD_Error;GBD_Error;Stab_Error
0;3;3;2.0057099191814302e+01;2.0057099191814331e+01;1.0000000000000000e+00;5.1279396196496059e-16;6.4418764168888489e-16;2.2204460492503131e-16;2.8224499939747318e-17;3.4673782380432354e-17;5.5894063555304957e-32
1;3;3;6.5203596737043830e+00;6.5203596737043776e+00;1.0000000000000000e+00;2.9417418678021328e-16;5.9960234519928904e-16;0.0000000000000000e+00;1.9571713544748024e-16;4.8703642570606593e-17;1.5487870893769268e-32
2;3;3;1.3530404995613431e+01;1.3530404995613420e+01;1.0000000000000000e+00;1.3013895054308397e-16;1.7811614887877192e-15;1.1102230246251565e-16;1.4654416678603409e-16;3.3666844127177074e-17;7.2862625377373237e-32
3;3;3;1.0347877541776716e+01;1.0347877541776709e+01;1.0000000000000000e+00;1.8222579983217689e-16;8.2212472567518444e-16;4.4408920985006262e-16;2.1843077558458300e-16;1.8959987281505251e-17;1.0420923839603178e-31
4;3;3;3.2253430733079611e+00;3.2253430733079633e+00;1.0000000000000000e+00;1.9560625815268048e-16;3.2536433313515647e-16;2.2204460492503131e-16;1.8188928480893751e-16;1.5474436681182630e-16;3.0777645400791107e-32
5;3;3;4.2426406871192892e+00;4.2426406871192892e+00;1.0000000000000000e+00;2.8766437030650532e-16;3.6339317071204227e-16;0.0000000000000000e+00;2.4236588653801363e-17;2.0242213229458499e-16;6.7870504785041658e-32
6;3;3;1.2828140913316867e+01;1.2828140913316854e+01;1.0000000000000000e+00;1.9229626863835641e-16;6.6952236299927219e-16;1.1102230246251565e-16;3.1950786072065863e-16;1.3218735555599467e-17;1.7887133233083474e-31
7;3;3;4.2426406871192892e+00;4.2426406871192892e+00;1.0000000000000000e+00;2.8766437030650532e-16;3.6339317071204227e-16;0.0000000000000000e+00;2.4236588653801363e-17;2.0242213229458499e-16;6.7870504785041658e-32
8;3;3;6.9382168281419965e+00;6.9382168281420000e+00;1.0000000000000000e+00;2.9420146427916204e-16;1.9246312009589744e-16;1.1102230246251565e-16;2.5983367290602009e-17;1.7953273324253254e-16;6.5832569993275213e-32
9;3;3;6.0561763452486783e+00;6.0561763452486783e+00;1.0000000000000000e+00;7.2111100739383649e-17;4.2537174127482987e-16;2.2204460492503131e-16;1.0941033243002594e-17;1.3382770479404828e-16;1.7877589097095040e-32
10;3;3;6.0561763452486934e+00;6.0561763452486987e+00;1.0000000000000000e+00;9.1002740403051136e-17;7.1170188658864967e-16;1.1102230246251565e-16;1.7299292501753354e-17;2.0442519576697717e-16;1.7877589097095035e-32
11;3;3;5.5008090383956159e+00;5.5008090383956132e+00;1.0000000000000000e+00;2.9594199468985398e-16;3.8394516252537898e-16;2.2204460492503131e-16;1.6496414967763727e-17;5.6521273009696106e-17;5.9089640511036079e-32
12;3;3;3.8567567718636234e+01;3.8567567718636163e+01;1.0000000000000000e+00;3.3918613000430077e-16;8.0060323188722847e-16;0.0000000000000000e+00;1.7057158487372058e-17;8.6125862855030002e-18;3.9727341929341340e-32
13;3;3;4.2426406871192857e+00;4.2426406871192848e+00;1.0000000000000000e+00;1.2819751242557095e-16;3.0235322834985704e-16;0.0000000000000000e+00;2.7127740529628898e-17;1.3329448715455534e-16;1.6893624948903804e-32
14;3;3;8.9981311618333333e+00;8.9981311618333404e+00;1.0000000000000000e+00;9.5832399251057572e-17;2.5977474225386945e-15;0.0000000000000000e+00;2.9888183451379389e-17;4.0163685019742339e-17;1.2577342326029398e-32
15;3;3;3.7966066446029751e+00;3.7966066446029738e+00;1.0000000000000000e+00;2.3400984612919691e-16;1.6439956473857896e-16;0.0000000000000000e+00;1.8668777615826905e-16;2.9853583547391926e-16;8.9859095917756180e-32
16;3;3;3.2253430733079651e+00;3.2253430733079633e+00;1.0000000000000000e+00;1.4355295331320574e-16;1.9695542379736482e-16;1.1102230246251565e-16;1.7020568562428422e-17;1.5474436681182657e-16;3.0103870800353791e-32
17;3;3;4.2964750510723535e+00;4.2964750510723526e+00;1.0000000000000000e+00;2.4037033579794551e-17;3.5407610056082650e-16;2.2204460492503131e-16;2.4005335736663233e-16;0.0000000000000000e+00;3.2481734603653789e-33
18;3;3;4.4879388597553227e+00;4.4879388597553280e+00;1.0000000000000000e+00;2.2262209511987996e-16;2.7497220296970229e-16;3.3306690738754696e-16;1.4387689367495401e-16;1.5850778438285446e-16;8.7758030020197515e-32
19;3;3;4.8065942354036864e+00;4.8065942354036864e+00;1.0000000000000000e+00;1.2919517348320736e-16;1.9560625815268048e-16;2.2204460492503131e-16;1.7641817857897325e-17;1.9283820007003985e-16;1.8318889112587340e-32
20;3;3;7.0790378596853536e+00;7.0790378596853536e+00;1.0000000000000000e+00;2.8716878800843063e-16;3.4732034857967174e-16;0.0000000000000000e+00;3.0094412207520692e-17;2.0644671823953413e-16;1.0893550849563147e-31
21;3;3;3.8221657993741993e+00;3.8221657993741984e+00;1.0000000000000000e+00;8.5172390619605067e-17;2.5159272148758032e-16;0.0000000000000000e+00;6.3021971635569278e-17;2.8179602064179051e-17;1.3168995604114426e-32
22;3;3;5.8685990017365688e+00;5.8685990017365697e+00;1.0000000000000000e+00;1.9229626863835641e-16;6.1196863527934808e-16;3.3306690738754696e-16;1.7520115133207435e-16;1.2407828878267514e-16;4.5962352833104492e-32
23;3;3;4.2848026551475442e+00;4.2848026551475478e+00;1.0000000000000000e+00;2.4037033579794551e-17;1.9577028858666474e-16;2.2204460492503131e-16;2.3419169532617708e-17;0.0000000000000000e+00;1.1944611592048540e-32
24;3;3;1.2345118251090586e+01;1.2345118251090575e+01;1.0000000000000000e+00;3.2111913537771814e-17;6.2245397947326373e-16;4.4408920985006262e-16;1.5976846602539659e-16;0.0000000000000000e+00;1.9832787666026526e-32
25;3;3;5.0491058217513345e+00;5.0491058217513309e+00;1.0000000000000000e+00;9.5834641034944313e-17;3.9796941019065081e-16;2.2204460492503131e-16;1.0540934046746488e-17;1.6401460090438186e-16;7.1267394878478491e-32
26;3;3;2.7469747816829447e+01;2.7469747816829432e+01;1.0000000000000000e+00;5.5908736414461797e-16;8.2102726032257159e-16;0.0000000000000000e+00;1.7363500596033769e-17;6.6960878237998432e-18;3.9564531229802563e-32
27;3;3;6.2780207430324033e+00;6.2780207430323980e+00;1.0000000000000000e+00;1.9379276022481102e-16;5.9036355093220053e-16;2.2204460492503131e-16;2.5780827415728204e-16;1.2404185778298401e-16;1.0775125397323471e-31
28;3;3;4.7406619650383544e+00;4.7406619650383535e+00;1.0000000000000000e+00;6.7986997775525911e-17;3.4551527957909740e-16;0.0000000000000000e+00;1.4894827829896626e-17;0.0000000000000000e+00;2.3050903058318650e-32
29;3;3;9.7854729031135630e+00;9.7854729031135577e+00;1.0000000000000000e+00;9.7905637362601884e-17;7.5322739066541652e-17;0.0000000000000000e+00;4.7505879246898877e-17;6.8218363642147098e-17;2.4291090624712218e-32
30;3;3;5.8914111312971924e+00;5.8914111312971924e+00;1.0000000000000000e+00;6.6555532242561499e-17;5.6504419137493411e-16;0.0000000000000000e+00;5.4129718717190947e-17;7.4509960006816211e-17;2.2965567866698442e-32
31;3;3;6.7860178952223258e+00;6.7860178952223302e+00;1.0000000000000000e+00;3.8467599014463149e-16;3.6648131395668215e-16;0.0000000000000000e+00;1.7234986841565706e-16;1.0149565603719284e-16;6.9748805545884479e-32
32;3;3;1.2137769116705648e+01;1.2137769116705666e+01;1.0000000000000000e+00;3.8469685053293051e-16;8.0316510473021764e-16;4.4408920985006262e-16;2.0709930864903621e-16;6.3983430633242184e-17;1.7495993420263223e-31
33;3;3;4.4922091377899939e+01;4.4922091377899896e+01;1.0000000000000000e+00;2.5702022701040905e-16;1.9691807043378744e-14;0.0000000000000000e+00;1.1442815855573465e-16;7.0068915044463586e-17;6.7523544559506257e-32
34;3;3;1.0056126575004336e+01;1.0056126575004335e+01;1.0000000000000000e+00;2.7268469936824569e-16;4.3667277669960101e-16;0.0000000000000000e+00;5.7954882692015640e-17;8.7688953053266245e-17;3.3905842169285213e-32
35;3;3;8.0569072661774701e+00;8.0569072661774683e+00;1.0000000000000000e+00;3.1577685613522907e-16;4.4532078208985846e-16;1.1102230246251565e-16;8.8367259002709318e-17;1.4936353371609984e-16;4.6641806038848042e-32
36;3;3;5.2323319161878379e+00;5.2323319161878379e+00;1.0000000000000000e+00;2.4090389990796894e-16;3.0467987022359185e-16;0.0000000000000000e+00;3.1813985424768887e-17;1.0228448839495826e-16;3.6716965850138827e-32
37;3;3;2.6353768821295729e+00;2.6353768821295729e+00;1.0000000000000000e+00;1.9362705454232937e-16;3.2889673943313843e-16;4.4408920985006262e-16;4.2794539727052842e-17;2.1892451462530516e-16;3.4118874779868747e-32
38;3;3;6.7860178952223249e+00;6.7860178952223293e+00;1.0000000000000000e+00;1.8183980334964601e-16;1.2886734796362992e-16;2.2204460492503131e-16;1.7229322265609858e-16;5.1932023232626431e-17;5.4377923727656595e-33
39;3;3;1.7887980598207079e+01;1.7887980598207079e+01;1.0000000000000000e+00;1.8161927940524989e-16;1.7683439050587379e-15;1.1102230246251565e-16;1.1516262322670276e-16;1.9091424819951661e-17;9.8400335080892619e-32
40;3;3;2.7640648873564966e+00;2.7640648873564952e+00;1.0000000000000000e+00;3.8590403171343082e-16;2.1582646702364059e-16;0.0000000000000000e+00;2.9589724555712377e-17;3.2453046145323994e-16;2.0840801942962801e-31
41;3;3;1.4876607322698753e+01;1.4876607322698735e+01;1.0000000000000000e+00;5.4220492840910502e-16;9.1402699021385086e-16;0.0000000000000000e+00;4.5827755842504976e-17;2.1977683756327465e-17;2.8486229783421786e-32
42;3;3;4.8356481425432820e+00;4.8356481425432829e+00;1.0000000000000000e+00;1.0015430658247730e-16;1.9267148122663090e-16;2.2204460492503131e-16;1.9616494179488717e-16;0.0000000000000000e+00;9.6339661053696025e-32
43;3;3;3.8612285107308226e+00;3.8612285107308217e+00;1.0000000000000000e+00;2.0368539683870737e-16;4.8426652740154613e-16;0.0000000000000000e+00;5.3254321763410862e-17;3.2751785949915816e-16;5.7724743850289871e-32
44;3;3;4.5526419321464591e+00;4.5526419321464582e+00;1.0000000000000000e+00;3.2111913537771814e-17;6.0167840345419731e-16;2.2204460492503131e-16;2.0081045076774679e-16;1.9486314178732294e-16;1.8440556600149162e-32
