Cell2D_Index;NumQuadPoints_Boundary;NumQuadPoints_Internal;PiNabla_Cond;Pi0k_Cond;Pi0km1_Cond;PiNabla_Error;Pi0k_Error;Pi0km1_Error;HCD_Error;GBD_Error;Stab_Error
14;3;3;3.8567567718636234e+01;3.8567567718636163e+01;1.0000000000000000e+00;3.3956298143059318e-16;3.3958070531198587e-16;0.0000000000000000e+00;3.6593515646894294e-16;2.1306013646513314e-17;1.1215242638378710e-31
15;3;3;3.2253430733079607e+00;3.2253430733079616e+00;1.0000000000000000e+00;1.8169658535602113e-16;3.4181829962641309e-16;2.2204460492503131e-16;3.8860993079483457e-17;1.1278836985975693e-16;5.8037854371106723e-32
16;3;3;6.0561763452486872e+00;6.0561763452486952e+00;1.0000000000000000e+00;2.2334185805537978e-16;7.5914586017805160e-16;1.1102230246251565e-16;4.8699889675544101e-17;1.3382770479404840e-16;5.4291265310069226e-32
17;3;3;8.9981311618333333e+00;8.9981311618333404e+00;1.0000000000000000e+00;9.5832399251057572e-17;2.5977474225386945e-15;0.0000000000000000e+00;2.9888183451379389e-17;4.0163685019742339e-17;1.2577342326029398e-32
18;3;3;1.2828140913316860e+01;1.2828140913316856e+01;1.0000000000000000e+00;6.5338692289166403e-17;1.1169115660162244e-15;2.2204460492503131e-16;3.2540936722524421e-17;1.3218735555599471e-17;1.6434380917122180e-32
19;3;3;4.2426406871192830e+00;4.2426406871192883e+00;1.0000000000000000e+00;8.0123445265981841e-18;4.2763733439374207e-16;0.0000000000000000e+00;2.2115355968598694e-17;0.0000000000000000e+00;2.1460080048064831e-32
20;3;3;3.2253430733079611e+00;3.2253430733079607e+00;1.0000000000000000e+00;1.4533076660998760e-16;2.9251629755730374e-16;0.0000000000000000e+00;1.5587622890734717e-17;1.1278836985975685e-16;7.2609935675473007e-33
21;3;3;3.0552436655098214e+00;3.0552436655098236e+00;1.0000000000000000e+00;1.7053311162424517e-16;2.3996938416635225e-16;2.2204460492503131e-16;4.2526043041177201e-17;1.1464182322972931e-16;3.0641959493426663e-32
22;3;3;4.0985237428468313e+00;4.0985237428468277e+00;1.0000000000000000e+00;1.7053311162424517e-16;3.8056527931213079e-16;0.0000000000000000e+00;1.1381592062912603e-16;7.5295605705067423e-17;2.9618575092429348e-32
23;3;3;3.6903227020298828e+00;3.6903227020298801e+00;1.0000000000000000e+00;2.2662332591841976e-17;3.2011319757173537e-16;0.0000000000000000e+00;3.4075428194203865e-17;1.6933440123270672e-16;7.4212376868007313e-34
24;3;3;5.6518486993336152e+00;5.6518486993336046e+00;1.0000000000000000e+00;1.9560625815268048e-16;2.6682430600961907e-16;2.2204460492503131e-16;4.1483366907679033e-17;1.5408048658231056e-16;6.6550171995136086e-32
25;3;3;4.4318050634336661e+00;4.4318050634336652e+00;1.0000000000000000e+00;2.6477131637640694e-16;3.2996854323206591e-16;0.0000000000000000e+00;6.0659280165174793e-17;2.9058063673893512e-16;4.2274831708000720e-32
