Cell2D_Index;NumQuadPoints_Boundary;NumQuadPoints_Internal;PiNabla_Cond;Pi0k_Cond;Pi0km1_Cond;PiNabla_Error;Pi0k_Error;Pi0km1_Error;HCD_Error;GBD_Error;Stab_Error
0;4;6;3.2249338916690391e+00;3.2249338916690395e+00;1.0000000000000000e+00;1.2983027138321448e-16;2.2355733505489990e-16;2.2204460492503131e-16;1.3444944307068064e-16;2.9813119223156371e-16;9.7700513237491426e-17
1;4;6;5.2209016918318820e+00;5.2209016918318838e+00;1.0000000000000000e+00;3.0096994044424603e-16;3.9618592916402233e-16;2.2204460492503131e-16;4.2105369546826580e-17;2.9376613577663287e-16;1.6361670521979892e-16
2;4;6;6.9737048206195897e+00;6.9737048206195889e+00;1.0000000000000000e+00;1.4577183216613732e-16;2.4529423422880915e-16;0.0000000000000000e+00;9.3234049319265176e-18;1.3259066288114426e-16;6.3973440831511290e-17
3;5;9;5.0760325148151795e+00;5.0760325148151839e+00;1.0000000000000000e+00;1.8341368392373679e-16;2.3768665954123640e-16;1.1102230246251565e-16;3.0475394482194045e-17;1.4301966304493911e-16;1.1987256159583716e-16
4;6;12;7.3352818696958613e+00;7.3352818696958604e+00;1.0000000000000000e+00;3.0174217159838065e-16;2.7289062128071230e-16;2.2204460492503131e-16;1.5655017361310164e-16;2.2608226795207257e-16;3.6510469120711072e-16
5;6;12;7.5796779909745666e+00;7.5796779909745640e+00;1.0000000000000000e+00;1.5303630482522426e-16;4.8159539647600837e-16;0.0000000000000000e+00;4.9587423472231706e-17;1.0549686173967693e-16;3.5316856884974682e-16
6;4;6;7.8094890474951439e+00;7.8094890474951404e+00;1.0000000000000000e+00;1.9379276022481102e-16;3.6865492863777905e-16;0.0000000000000000e+00;1.4943594084241133e-16;1.2647720167846164e-16;2.2937480767689909e-16
7;5;9;4.5641268117248561e+00;4.5641268117248588e+00;1.0000000000000000e+00;2.7429849281526872e-16;3.3661384165655220e-16;4.4408920985006262e-16;1.8290216315305113e-16;2.1760942490091321e-16;1.7735797887270860e-16
8;4;6;5.6396971813028518e+00;5.6396971813028491e+00;1.0000000000000000e+00;1.4386356481949791e-16;2.6504394866045225e-16;2.2204460492503131e-16;1.3964534920708118e-16;1.1104473323856640e-16;9.2608891493200633e-17
9;4;6;5.5299165278062734e+00;5.5299165278062725e+00;1.0000000000000000e+00;2.0882112877811880e-16;2.5124162459133171e-16;2.2204460492503131e-16;1.4690807910102903e-16;1.6129680600314976e-16;3.9860910728675901e-17
