Id;X;Y;Z;num_solution;ext_solution;error_inf
0;5.6891649440013348e-02;1.2844582472000671e-01;0.0000000000000000e+00;1.2227753333339102e+00;1.1961046668499642e+00;2.6670666483946004e-02
1;7.4780193260011729e-02;2.0000000000000001e-01;0.0000000000000000e+00;1.2847989448237043e+00;1.2771215768473780e+00;7.6773679763262326e-03
2;9.2668737080010000e-02;1.2844582472000671e-01;0.0000000000000000e+00;1.2583155791850507e+00;1.2506029509124341e+00;7.7126282726165396e-03
3;1.1055728090000838e-01;2.0000000000000001e-01;0.0000000000000000e+00;1.3329181831567736e+00;1.3517359834624130e+00;1.8817800305639398e-02
4;1.2844582472000665e-01;1.2844582472000671e-01;0.0000000000000000e+00;1.2971232750332382e+00;1.3005158655865852e+00;3.3925905533469525e-03
5;1.4633436854000503e-01;2.0000000000000001e-01;0.0000000000000000e+00;1.3812380238413864e+00;1.4197967900774480e+00;3.8558766236061581e-02
6;1.6422291236000330e-01;1.2844582472000671e-01;0.0000000000000000e+00;1.3349491646664786e+00;1.3458434108724171e+00;1.0894246205938485e-02
7;1.8211145618000169e-01;2.0000000000000001e-01;0.0000000000000000e+00;1.4291025821915209e+00;1.4813039966924828e+00;5.2201414500961940e-02
8;1.9999999999999996e-01;1.2844582472000671e-01;0.0000000000000000e+00;1.3694836574365459e+00;1.3865855867699304e+00;1.7101929333384502e-02
9;2.1788854381999823e-01;2.0000000000000001e-01;0.0000000000000000e+00;1.4761373246776113e+00;1.5362576033075175e+00;6.0120278629906210e-02
10;2.3577708763999650e-01;1.2844582472000671e-01;0.0000000000000000e+00;1.3992910086960169e+00;1.4227423932791246e+00;2.3451384583107693e-02
11;2.5366563145999499e-01;2.0000000000000001e-01;0.0000000000000000e+00;1.5221147013788192e+00;1.5846576099225524e+00;6.2542908543733233e-02
12;2.7155417527999326e-01;1.2844582472000671e-01;0.0000000000000000e+00;1.4235314638839212e+00;1.4543138304000001e+00;3.0782366516078907e-02
13;2.8944271909999153e-01;2.0000000000000001e-01;0.0000000000000000e+00;1.5676700525657985e+00;1.6265040165375870e+00;5.8833963971788528e-02
14;3.0733126291998980e-01;1.2844582472000671e-01;0.0000000000000000e+00;1.4493981802677822e+00;1.4812998981325565e+00;3.1901717864774248e-02
15;3.2521980673998807e-01;2.0000000000000001e-01;0.0000000000000000e+00;1.6126902135188472e+00;1.6617968231526219e+00;4.9106609633774667e-02
16;3.4310835055998656e-01;1.2844582472000671e-01;0.0000000000000000e+00;1.4685663533830347e+00;1.5037005964767942e+00;3.5134243093759565e-02
17;3.4310835055998656e-01;2.7155417527999326e-01;0.0000000000000000e+00;1.7662998044773826e+00;1.8133435763500358e+00;4.7043771872653295e-02
18;5.6891649440013348e-02;2.7155417527999326e-01;0.0000000000000000e+00;1.2837039740782554e+00;1.2698180467232056e+00;1.3885927355049787e-02
19;2.4763663400158836e-01;5.4763663400158835e-01;0.0000000000000000e+00;1.7678796361378888e+00;1.8384862866345153e+00;7.0606650496626511e-02
20;3.1313708498984766e-01;3.8686291501015235e-01;0.0000000000000000e+00;1.8683884276530554e+00;1.9162801589720819e+00;4.7891731319026576e-02
21;3.1313708498984766e-01;6.1313708498984765e-01;0.0000000000000000e+00;1.8903723338848144e+00;1.9162801589720819e+00;2.5907825087267522e-02
22;8.6862915010152364e-02;6.1313708498984765e-01;0.0000000000000000e+00;1.3719401213238824e+00;1.4010267210279181e+00;2.9086599704035709e-02
23;8.6862915010152419e-02;7.6724977450587040e-01;0.0000000000000000e+00;1.3362733531436239e+00;1.3266299188107447e+00;9.6434343328792860e-03
24;3.1313708498984766e-01;7.6724977450587040e-01;0.0000000000000000e+00;1.6845264076777930e+00;1.7145418105175707e+00;3.0015402839777661e-02
25;3.1313708498984766e-01;8.3275022549412969e-01;0.0000000000000000e+00;1.5242183784050343e+00;1.5792971598967291e+00;5.5078781491694873e-02
26;8.6862915010152419e-02;8.3275022549412969e-01;0.0000000000000000e+00;1.3146462322082362e+00;1.2767545748305282e+00;3.7891657377707944e-02
27;3.8686291501015235e-01;3.1313708498984760e-01;0.0000000000000000e+00;1.8775044523880791e+00;1.9162801589720819e+00;3.8775706584002867e-02
28;3.8686291501015235e-01;2.5656854249492383e-01;0.0000000000000000e+00;1.7613185553774096e+00;1.8239007194860410e+00;6.2582164108631488e-02
29;3.8686291501015235e-01;2.0000000000000001e-01;0.0000000000000000e+00;1.6406840891500034e+00;1.7072320000000003e+00;6.6547910849996894e-02
30;3.8686291501015235e-01;1.4343145750507619e-01;0.0000000000000000e+00;1.5116460678957917e+00;1.5662740005139590e+00;5.4627932618167341e-02
31;3.8686291501015235e-01;8.6862915010152419e-02;0.0000000000000000e+00;1.3632917354221505e+00;1.4010267210279184e+00;3.7734985605767823e-02
32;4.4343145750507618e-01;8.6862915010152419e-02;0.0000000000000000e+00;1.3796253338171369e+00;1.4132099272752541e+00;3.3584593458117151e-02
33;5.0000000000000000e-01;8.6862915010152419e-02;0.0000000000000000e+00;1.3877951144911498e+00;1.4172709960243659e+00;2.9475881533216119e-02
34;5.5656854249492382e-01;8.6862915010152419e-02;0.0000000000000000e+00;1.3870834103780154e+00;1.4132099272752541e+00;2.6126516897238661e-02
35;6.1313708498984765e-01;8.6862915010152419e-02;0.0000000000000000e+00;1.3787839479917503e+00;1.4010267210279184e+00;2.2242773036168062e-02
36;6.1313708498984765e-01;1.4343145750507619e-01;0.0000000000000000e+00;1.5214137791476396e+00;1.5662740005139593e+00;4.4860221366319619e-02
37;6.1313708498984765e-01;2.0000000000000001e-01;0.0000000000000000e+00;1.6451052944455187e+00;1.7072320000000003e+00;6.2126705554481632e-02
38;6.1313708498984765e-01;2.5656854249492383e-01;0.0000000000000000e+00;1.7507227137980006e+00;1.8239007194860410e+00;7.3178005688040448e-02
39;5.5656854249492382e-01;2.5656854249492383e-01;0.0000000000000000e+00;1.7746150386249280e+00;1.8531985563623734e+00;7.8583517737445430e-02
