Id;X;Y;Z;num_solution;ext_solution;error_inf
0;5.6891649440013348e-02;1.2844582472000676e-01;0.0000000000000000e+00;1.2217140443384606e+00;1.1961046668499644e+00;2.5609377488496232e-02
1;7.2792577398482994e-02;2.0000000000000007e-01;0.0000000000000000e+00;1.2797271496544647e+00;1.2727841742698724e+00;6.9429753845922093e-03
2;8.8693505356952640e-02;1.2844582472000676e-01;0.0000000000000000e+00;1.2521678675215857e+00;1.2447740243602072e+00;7.3938431613784772e-03
3;1.0459443438166260e-01;2.0000000000000007e-01;0.0000000000000000e+00;1.3228679785314941e+00;1.3397553630157895e+00;1.6887384484295387e-02
4;1.2049536127389193e-01;1.2844582472000676e-01;0.0000000000000000e+00;1.2867048024904548e+00;1.2898203739047052e+00;3.1155714142503399e-03
5;1.3639629243108242e-01;2.0000000000000007e-01;0.0000000000000000e+00;1.3663793379393556e+00;1.4015484002358711e+00;3.5169062296515508e-02
6;1.5229721932331186e-01;1.2844582472000676e-01;0.0000000000000000e+00;1.3214553819349188e+00;1.3312437181396384e+00;9.7883362047195277e-03
7;1.6819814621554119e-01;2.0000000000000007e-01;0.0000000000000000e+00;1.4097126653493781e+00;1.4581632763525034e+00;4.8450611003125310e-02
8;1.8409907310777052e-01;1.2844582472000676e-01;0.0000000000000000e+00;1.3542549611082151e+00;1.3690440490964653e+00;1.4789087988250182e-02
9;1.9999999999999996e-01;2.0000000000000007e-01;0.0000000000000000e+00;1.4525481086250152e+00;1.5096000000000001e+00;5.7051891374984898e-02
10;2.1590093542215172e-01;1.2844582472000676e-01;0.0000000000000000e+00;1.3837497605879325e+00;1.4032213812546199e+00;1.9471620666687395e-02
11;2.3180187084430348e-01;2.0000000000000007e-01;0.0000000000000000e+00;1.4946739439178793e+00;1.5558585946045040e+00;6.1184650686624709e-02
12;2.4770280626645502e-01;1.2844582472000676e-01;0.0000000000000000e+00;1.4089643662438884e+00;1.4337757116988021e+00;2.4811345454913702e-02
13;2.6360374168860679e-01;2.0000000000000007e-01;0.0000000000000000e+00;1.5361674021544196e+00;1.5969390311843152e+00;6.0771629029895635e-02
14;2.7950467711075855e-01;1.2844582472000676e-01;0.0000000000000000e+00;1.4317239544994602e+00;1.4607070307760561e+00;2.8983076276595909e-02
15;2.9540561253291031e-01;2.0000000000000007e-01;0.0000000000000000e+00;1.5774478030166099e+00;1.6328413097394341e+00;5.5393506722824171e-02
16;3.1130654795506207e-01;1.2844582472000676e-01;0.0000000000000000e+00;1.4548158646942986e+00;1.4840153384863815e+00;2.9199473792082875e-02
17;3.2720748337721384e-01;2.0000000000000007e-01;0.0000000000000000e+00;1.6180035167543647e+00;1.6635654302698604e+00;4.5561913515495656e-02
18;3.4310835055998634e-01;1.2844582472000676e-01;0.0000000000000000e+00;1.4698244353173155e+00;1.5037005964767942e+00;3.3876161159478668e-02
19;3.4310835055998634e-01;2.7155417527999332e-01;0.0000000000000000e+00;1.7689277170277813e+00;1.8133435763500358e+00;4.4415859322254558e-02
20;5.6891649440013348e-02;2.7155417527999332e-01;0.0000000000000000e+00;1.2829315575284734e+00;1.2698180467232056e+00;1.3113510805267792e-02
21;2.6907312806884770e-01;5.6907312806884769e-01;0.0000000000000000e+00;1.7720455457611775e+00;1.8716776006571121e+00;9.9632054895934630e-02
22;3.1313708498984766e-01;3.8686291501015246e-01;0.0000000000000000e+00;1.8822172343784873e+00;1.9162801589720821e+00;3.4062924593594834e-02
23;3.1313708498984766e-01;6.1313708498984765e-01;0.0000000000000000e+00;1.8533044884220162e+00;1.9162801589720819e+00;6.2975670550065699e-02
24;8.6862915010152475e-02;6.1313708498984765e-01;0.0000000000000000e+00;1.3802042538011186e+00;1.4010267210279186e+00;2.0822467226800034e-02
25;8.6862915010152419e-02;7.7796802153950007e-01;0.0000000000000000e+00;1.3273237679842949e+00;1.3192136724433279e+00;8.1100955409669773e-03
26;3.1313708498984766e-01;7.7796802153950007e-01;0.0000000000000000e+00;1.6728150720398545e+00;1.6944315201649425e+00;2.1616448125088006e-02
27;3.1313708498984766e-01;8.2203197846050002e-01;0.0000000000000000e+00;1.5480027678139330e+00;1.6034487197591765e+00;5.5445951945243488e-02
28;8.6862915010152419e-02;8.2203197846050002e-01;0.0000000000000000e+00;1.3180885498079107e+00;1.2856611552406869e+00;3.2427394567223766e-02
29;3.8686291501015241e-01;3.1313708498984766e-01;0.0000000000000000e+00;1.8813746644948495e+00;1.9162801589720821e+00;3.4905494477232679e-02
30;3.8686291501015241e-01;2.5656854249492383e-01;0.0000000000000000e+00;1.7613544751786301e+00;1.8239007194860413e+00;6.2546244307411181e-02
31;3.8686291501015241e-01;2.0000000000000001e-01;0.0000000000000000e+00;1.6404134273779827e+00;1.7072320000000003e+00;6.6818572622017625e-02
32;3.8686291501015241e-01;1.4343145750507624e-01;0.0000000000000000e+00;1.5113899511283684e+00;1.5662740005139595e+00;5.4884049385591105e-02
33;3.8686291501015241e-01;8.6862915010152419e-02;0.0000000000000000e+00;1.3642521767903577e+00;1.4010267210279184e+00;3.6774544237560658e-02
34;4.4343145750507623e-01;8.6862915010152419e-02;0.0000000000000000e+00;1.3809275612907725e+00;1.4132099272752541e+00;3.2282365984481531e-02
35;5.0000000000000000e-01;8.6862915010152419e-02;0.0000000000000000e+00;1.3891495015871920e+00;1.4172709960243659e+00;2.8121494437173933e-02
36;5.5656854249492382e-01;8.6862915010152419e-02;0.0000000000000000e+00;1.3883972811010161e+00;1.4132099272752541e+00;2.4812646174237951e-02
37;6.1313708498984765e-01;8.6862915010152419e-02;0.0000000000000000e+00;1.3801813318578087e+00;1.4010267210279184e+00;2.0845389170109696e-02
38;6.1313708498984765e-01;1.4343145750507624e-01;0.0000000000000000e+00;1.5216840919787626e+00;1.5662740005139593e+00;4.4589908535196621e-02
39;6.1313708498984765e-01;2.0000000000000001e-01;0.0000000000000000e+00;1.6439427622193579e+00;1.7072320000000003e+00;6.3289237780642438e-02
40;6.1313708498984765e-01;2.5656854249492383e-01;0.0000000000000000e+00;1.7479760991998496e+00;1.8239007194860410e+00;7.5924620286191402e-02
41;5.5656854249492382e-01;2.5656854249492383e-01;0.0000000000000000e+00;1.7745073723216866e+00;1.8531985563623734e+00;7.8691184040686757e-02
42;5.0000000000000000e-01;2.5656854249492383e-01;0.0000000000000000e+00;1.8155302620140570e+00;1.8629645019878174e+00;4.7434239973760395e-02
43;5.0000000000000000e-01;2.4464150219938036e-01;0.0000000000000000e+00;1.8079541810923574e+00;1.8391681504040438e+00;3.1213969311686407e-02
