TotProc Type Time
1 CreateMesh 1.56200000e-03
1 SetVariables 2.40000000e-05
1 ComputeGeometricProperties 1.26700000e-03
1 CreateVEMSpace 5.44000000e-04
1 AssembleSystem 4.52800000e-03
1 ComputeVEMPerformance 2.22770000e-02
1 Factorize 1.99000000e-04
1 Solve 1.80000000e-05
1 ComputeErrors 2.94620000e-02
1 ExportSolution 2.38660000e-02
