Cell2D_Index;NumQuadPoints_Boundary;NumQuadPoints_Internal;PiNabla_Cond;Pi0k_Cond;Pi0km1_Cond;PiNabla_Error;Pi0k_Error;Pi0km1_Error;HCD_Error;GBD_Error;Stab_Error
0;3;3;1.6567365923301310e+01;1.6567365923301306e+01;1.0000000000000000e+00;5.9096897074113216e-16;8.7946431310199544e-16;0.0000000000000000e+00;1.7511431259590193e-16;3.2016611052483305e-16;6.2956852321829637e-32
1;3;3;1.0329062629248016e+01;1.0329062629248021e+01;1.0000000000000000e+00;1.4338515319353585e-16;2.3768893844574538e-15;0.0000000000000000e+00;1.3473533059891360e-16;8.2572171375684987e-17;4.3265105116321778e-32
2;3;3;1.2018905705620149e+01;1.2018905705620142e+01;1.0000000000000000e+00;2.0289591558549712e-16;8.7511713099983429e-16;0.0000000000000000e+00;2.0592610404698840e-17;2.5102897361957895e-16;5.5177551944369570e-32
3;3;3;4.5682349919856602e+00;4.5682349919856584e+00;1.0000000000000000e+00;1.1666149724882014e-16;4.1168171577819290e-16;0.0000000000000000e+00;2.7546233396218112e-16;1.1051026121406690e-16;9.7162409184086008e-33
4;3;3;7.2867935468864884e+00;7.2867935468864902e+00;1.0000000000000000e+00;1.6228706661190057e-16;4.3488656054059265e-16;2.2204460492503131e-16;2.7819897446158636e-17;4.1839760259510098e-17;3.8404417236762823e-32
5;3;3;8.9588922017882560e+00;8.9588922017882648e+00;1.0000000000000000e+00;3.3006580735893355e-16;3.4918106319775599e-16;0.0000000000000000e+00;1.4843172040353510e-16;2.5123447477634854e-16;5.8088722956337084e-32
6;3;3;7.2476492088978306e+00;7.2476492088978306e+00;1.0000000000000000e+00;1.6024689053196368e-17;2.6549771367108388e-16;2.2204460492503131e-16;1.4037213289756722e-16;0.0000000000000000e+00;1.1579420469249786e-32
7;3;3;9.0065485544746000e+00;9.0065485544745840e+00;1.0000000000000000e+00;2.2676492126239277e-16;1.7787585306342635e-15;4.4408920985006262e-16;1.4267983976775990e-16;2.1582340299413843e-16;4.5745800173109749e-32
8;3;3;6.8637949883356697e+00;6.8637949883356706e+00;1.0000000000000000e+00;3.6980680830360193e-16;4.3672790403081558e-16;2.2204460492503131e-16;5.5163537260583350e-17;3.9519921181051071e-16;1.0391638050096074e-31
9;3;3;2.6652593317262951e+00;2.6652593317262965e+00;1.0000000000000000e+00;1.4882269437304651e-16;2.9721370557657876e-16;0.0000000000000000e+00;3.0305609290646556e-17;2.1198734038210983e-16;5.6019776708395925e-32
10;3;3;5.6425186517892731e+00;5.6425186517892714e+00;1.0000000000000000e+00;1.4774033314023857e-16;2.8361888867029568e-16;0.0000000000000000e+00;4.9157509679583761e-17;1.6083462941443419e-16;1.0716348725769263e-31
11;3;3;6.3779801911505727e+00;6.3779801911505780e+00;1.0000000000000000e+00;1.6509367361328598e-16;5.1907378976381996e-16;2.2204460492503131e-16;1.9513928411650429e-16;3.3787050487003119e-16;3.3697661024320422e-32
