Cell2D_Index;NumQuadPoints_Boundary;NumQuadPoints_Internal;PiNabla_Cond;Pi0k_Cond;Pi0km1_Cond;PiNabla_Error;Pi0k_Error;Pi0km1_Error;HCD_Error;GBD_Error;Stab_Error
0;3;3;2.0057099191814288e+01;2.0057099191814306e+01;1.0000000000000000e+00;2.7256879992627610e-16;3.4176312532427299e-15;2.2204460492503131e-16;1.3914866123469613e-17;1.0001635848865331e-16;3.2020273386828628e-32
1;3;3;1.0157343555157921e+01;1.0157343555157917e+01;1.0000000000000000e+00;3.9055556787155027e-16;3.3967049209750033e-15;0.0000000000000000e+00;7.2979405466154402e-17;8.1801476066706750e-17;2.3166511393849716e-31
2;3;3;3.8729832423259167e+00;3.8729832423259118e+00;1.0000000000000000e+00;1.9626155733547187e-17;3.0415265081106930e-16;2.2204460492503131e-16;1.9550327191334401e-17;5.9242465805225704e-17;5.6429944738360259e-32
3;3;3;1.4658459854105519e+01;1.4658459854105503e+01;1.0000000000000000e+00;3.5832294041243823e-17;2.0931090362167193e-15;0.0000000000000000e+00;4.1686339189811808e-17;3.2379182307727950e-17;5.3059567872426687e-32
4;3;3;3.8729832769530868e+00;3.8729832769530868e+00;1.0000000000000000e+00;1.3311106448512300e-16;2.3469468764647177e-16;2.2204460492503131e-16;5.9656011433918638e-17;1.3247018263809183e-16;4.1892938568961830e-32
5;3;3;2.0960023237542810e+01;2.0960023237542696e+01;1.0000000000000000e+00;1.9246312009589744e-16;3.0018345288837668e-14;1.1102230246251565e-16;3.3433189041444588e-17;3.4457647490578445e-17;2.0520357970714584e-31
6;3;3;3.8729841772597036e+00;3.8729841772597045e+00;1.0000000000000000e+00;2.2276623375273415e-16;4.1610227348623384e-16;0.0000000000000000e+00;1.3594171191791029e-16;1.3329557352803451e-16;8.7070438264502713e-32
7;3;3;2.3075462125856031e+01;2.3075462125855989e+01;1.0000000000000000e+00;5.7355460412897320e-16;6.0581007929802536e-15;0.0000000000000000e+00;2.9271681183833840e-17;0.0000000000000000e+00;4.7560798400876526e-32
8;3;3;1.0829039324114676e+01;1.0829039324114662e+01;1.0000000000000000e+00;2.2448867873042660e-16;2.9501208824421258e-15;2.2204460492503131e-16;4.7538976651900741e-17;5.5368180084843890e-17;5.0941956161006283e-32
9;3;3;3.8729841772596858e+00;3.8729841772596871e+00;1.0000000000000000e+00;1.8200548080610227e-16;1.8200548080610227e-16;2.2204460492503131e-16;2.3204361630263063e-17;2.6494041200756038e-16;8.6805571817099363e-32
10;3;3;2.9066272784171712e+01;2.9066272784171804e+01;1.0000000000000000e+00;1.0415508578195882e-15;1.7517618454819661e-14;2.2204460492503131e-16;1.6192559030212269e-16;2.0126236341446618e-16;9.9105254893479776e-31
11;3;3;3.8729836232247998e+00;3.8729836232247998e+00;1.0000000000000000e+00;1.7916147020621912e-17;1.4533076660998760e-16;0.0000000000000000e+00;1.2948736889864848e-16;1.7834345535761747e-16;3.4794897346573603e-33
12;3;3;1.2101621601316708e+01;1.2101621601316719e+01;1.0000000000000000e+00;9.0880086225435713e-16;6.1623472539654341e-16;0.0000000000000000e+00;2.8446590962709304e-17;1.3477723034260860e-16;5.9082342357061782e-32
13;3;3;3.8729819611217153e+00;3.8729819611217144e+00;1.0000000000000000e+00;1.9362705454232937e-16;3.5769532562241483e-16;3.3306690738754696e-16;2.5561516005484697e-16;1.6821623291780264e-16;1.7346340993034378e-31
14;3;3;1.1016778343504509e+01;1.1016778343504532e+01;1.0000000000000000e+00;2.4454884405221479e-16;1.0415990103086651e-15;2.2204460492503131e-16;1.6950047356251267e-16;2.2579588265749267e-16;8.3058787331384736e-32
15;3;3;5.8914111312971924e+00;5.8914111312971915e+00;1.0000000000000000e+00;1.6109595277541272e-16;1.4427783203106905e-16;0.0000000000000000e+00;2.4091677240456579e-16;5.6653299107935064e-17;5.0595329029216458e-32
16;3;3;5.0491058217513318e+00;5.0491058217513318e+00;1.0000000000000000e+00;9.2402864783061498e-17;2.8587344631293007e-16;2.2204460492503131e-16;1.7791241919373608e-16;9.8408760542629123e-17;5.6661009183438791e-32
17;3;3;4.3009735387919870e+00;4.3009735387919825e+00;1.0000000000000000e+00;2.7639685440930829e-16;2.9033004305332924e-16;2.2204460492503131e-16;2.8682868605137355e-17;1.5348908752179834e-16;5.4720717475222251e-32
18;3;3;1.8112841991700151e+01;1.8112841991700201e+01;1.0000000000000000e+00;8.5128096996485666e-16;3.7641159744294004e-15;0.0000000000000000e+00;6.9035288131399234e-17;2.2043570996625122e-16;3.1015639585839901e-31
19;3;3;6.0561763452487067e+00;6.0561763452487023e+00;1.0000000000000000e+00;1.3274885683554194e-16;8.3230096849858486e-16;1.1102230246251565e-16;5.5452260809673336e-17;8.9218469862699033e-17;2.2848295608508437e-32
20;3;3;3.8567567718636234e+01;3.8567567718636163e+01;1.0000000000000000e+00;3.3918613000430077e-16;8.0060323188722847e-16;0.0000000000000000e+00;1.7057158487372058e-17;8.6125862855030002e-18;3.9727341929341340e-32
21;3;3;6.9382168281419965e+00;6.9382168281419938e+00;1.0000000000000000e+00;1.8218175734214821e-16;1.9229626863835641e-16;2.2204460492503131e-16;1.3930782728367066e-16;1.0365327186592546e-16;4.2034903873357224e-32
22;3;3;6.0561763452486890e+00;6.0561763452486890e+00;1.0000000000000000e+00;2.2662332591841976e-17;7.6511971915520516e-16;2.2204460492503131e-16;3.3275853526641728e-17;4.4609234931349467e-17;3.0228887016500515e-32
23;3;3;8.9981311618333439e+00;8.9981311618333368e+00;1.0000000000000000e+00;3.2099416197918171e-16;5.3652803190614267e-16;2.2204460492503131e-16;1.7844656464811304e-16;1.7378583277011189e-16;1.0742911905946660e-31
24;3;3;3.3023362846033342e+00;3.3023362846033320e+00;1.0000000000000000e+00;1.8428392411175822e-16;1.6498427161603295e-16;1.1102230246251565e-16;3.2927308999113748e-17;2.9001271942847492e-16;8.2380059897774386e-32
25;3;3;4.2426406871192848e+00;4.2426406871192848e+00;1.0000000000000000e+00;1.7916147020621912e-17;3.3965159158878590e-16;2.2204460492503131e-16;3.4288447232246767e-17;0.0000000000000000e+00;1.1643693836055321e-32
26;3;3;4.5069521622797541e+00;4.5069521622797541e+00;1.0000000000000000e+00;1.2919517348320736e-16;1.3141222102480508e-16;0.0000000000000000e+00;1.7884955076503368e-16;8.1416449435754195e-17;4.7858187951354869e-32
27;3;3;1.2828140913316860e+01;1.2828140913316856e+01;1.0000000000000000e+00;6.5338692289166403e-17;1.1169115660162244e-15;2.2204460492503131e-16;3.2540936722524421e-17;1.3218735555599471e-17;1.6434380917122180e-32
28;3;3;3.9061026130099719e+00;3.9061026130099732e+00;1.0000000000000000e+00;2.3275161746909858e-16;2.6368819336977119e-16;0.0000000000000000e+00;1.9397316891099469e-17;1.1553319406391528e-16;8.2052678853656499e-32
29;3;3;3.1420626583212141e+00;3.1420626583212132e+00;1.0000000000000000e+00;1.3335198968585163e-16;1.1911206455960975e-16;2.2204460492503131e-16;1.1646120717297705e-16;1.3993260438119844e-16;1.7575897633781494e-32
