Id;error_L2;error_H1;norm_L2;norm_H1
0;3.5966438930654332e-06;2.1684213150491259e-03;5.8881677802783581e-03;6.5831643948446907e-03
1;1.9359439750314414e-06;3.9569139858118270e-04;3.2766295126451161e-03;2.8849388184277918e-03
2;9.8731632679284387e-08;5.1280312995717061e-04;2.1508176501889879e-03;2.2748389618197124e-03
3;1.6305635622095143e-06;7.8990634610966864e-04;3.4158379174911119e-03;3.1786051786520273e-03
4;1.7488124670888778e-06;1.3853218038341391e-03;3.5626825478404676e-03;3.1017837657672546e-03
5;5.6580364279259681e-07;5.2774727898309668e-04;2.2917178990367300e-03;2.5021142014295832e-03
6;1.9627783329950137e-06;1.7943821666565295e-03;3.7044529552348799e-03;2.9616767353513387e-03
7;2.4442309367801627e-07;8.0468474987016288e-04;2.0170727182934585e-03;1.7561515059885311e-03
8;1.7659650861618190e-06;6.4454209705918785e-04;2.5648304541663102e-03;3.0032903510128985e-03
9;2.1327955262927301e-06;1.8699549999765021e-03;3.8330487737674506e-03;3.0729945093637924e-03
10;2.4289784867665196e-06;3.1214529630530722e-04;2.8080325117446044e-03;4.9927318382881579e-03
11;1.1696636632224431e-06;4.9564466039723858e-04;1.4844655630414109e-03;9.3190043964410108e-03
12;1.0906414408792013e-06;9.5194797509762219e-05;1.5165062536430722e-03;7.4041176129728461e-03
13;2.2025464603084912e-06;1.7436321260196503e-04;2.9239347719928399e-03;6.2982806234260693e-03
14;1.2268862048278836e-06;4.8778063950816446e-04;1.4493165249094575e-03;8.6240279223957547e-03
15;2.2877911632561950e-06;5.6733069606100810e-04;2.6876922540257772e-03;3.6649646094816125e-03
16;1.0509947859815148e-05;8.0099959036364111e-03;2.4286462476085929e-02;5.0546566356520529e-02
17;1.1760827917463404e-06;6.1294334350165769e-04;2.4315405148778980e-03;2.6796510339335815e-03
18;7.2692906986890799e-05;4.9128473858188436e-03;4.4696687588843334e-02;7.6843342142995388e-02
19;8.7966445576110016e-06;3.7067205235619957e-04;1.0636513876284469e-02;1.0346270186689295e-02
20;1.2694121437093202e-04;4.5685324156198581e-03;6.3475477914850559e-02;1.1285625698878726e-01
21;3.5840209529857749e-06;2.3934435191249486e-04;2.9420222680075474e-03;6.5256278944052799e-03
22;1.2517167467170458e-06;4.0206208269334531e-03;3.8406537774116040e-02;2.9587476618549163e-01
23;1.0776786407477820e-05;3.2367360559187072e-04;8.2923946423438775e-03;1.4515709403106857e-02
24;3.2677080921889195e-06;2.5968794825535551e-04;4.0215564936182642e-03;5.4576504077132586e-03
25;4.7201342326923059e-06;1.0529192270835390e-04;3.6800690416918195e-03;6.1246010259726055e-03
26;2.5763088903767823e-06;1.9219766677872061e-04;4.0425866804442642e-03;2.8700244050415449e-02
27;7.0726116063040567e-06;5.3509717739916828e-04;1.6613184572568107e-02;3.6057135944700711e-02
28;2.4927602450477318e-06;4.5161356365008354e-04;1.0356777220420593e-02;2.9855631691476557e-02
29;1.6839963774270933e-06;6.7747672006404744e-04;1.5205998064474369e-02;4.2765221945640156e-02
30;5.5312706725274612e-06;1.2739725706430715e-02;3.0726420352225225e-02;2.0007876706584854e-01
31;2.7615291952599289e-06;1.5957863707512509e-04;8.2322347584911394e-03;1.0710094705302696e-02
32;4.3740563047961297e-06;5.1377401200154356e-05;4.6507406579442924e-03;1.6519044126385263e-03
33;4.5545522117727608e-06;8.3769671742024612e-05;4.3652316191950683e-03;1.8593913082946354e-03
34;4.0458868465275520e-06;9.6827946142807818e-05;3.4640030658332202e-03;1.8860770244493194e-03
35;3.3019799922135660e-06;1.1725287119761910e-04;3.4880495509918398e-03;1.6058644744484868e-03
36;1.1403842189139929e-05;2.4614115619111626e-04;1.3899931262543507e-02;6.5455512258034117e-03
37;5.1198805946401371e-06;6.3062368833798088e-04;8.9385560879600319e-03;6.3216878363032275e-03
38;1.2829429987852343e-05;6.8226281649849565e-04;1.4789450056113627e-02;8.7821028457820329e-03
39;2.6771565516808633e-06;7.0591243469246624e-05;4.0501654117377703e-03;1.1649624242167330e-03
40;1.5982530004531442e-06;2.4013654487577688e-04;2.8221178598795988e-03;1.4430321784484456e-03
41;3.7816257310476979e-06;3.6751992562369583e-05;4.2985491535150275e-03;1.6437501149042522e-03
42;2.6855821909988798e-06;7.1032004922015060e-05;4.0928110011650065e-03;1.1429590444248777e-03
43;2.4417481666625393e-06;2.1340388355365410e-04;2.5980987603525401e-03;8.6095861185056383e-03
44;3.0062553726938439e-06;1.5176067249398038e-02;3.0758435231636211e-02;2.0281163216669507e-01
45;2.5788286564268406e-05;1.0094527593161923e-03;1.9393747842792498e-02;1.4169158346041466e-02
