Cell2D_Index;NumQuadPoints_Boundary;NumQuadPoints_Internal;PiNabla_Cond;Pi0k_Cond;Pi0km1_Cond;PiNabla_Error;Pi0k_Error;Pi0km1_Error;HCD_Error;GBD_Error;Stab_Error
0;3;3;1.2039452349832553e+01;1.2039452349832548e+01;1.0000000000000000e+00;1.2925727162353099e-16;7.4874525640873829e-16;0.0000000000000000e+00;6.4535955296546901e-17;7.9782441952657542e-17;1.6546544152471859e-32
1;3;3;5.2838605972486210e+00;5.2838605972486219e+00;1.0000000000000000e+00;1.2124877418826099e-16;6.8686872014240092e-16;0.0000000000000000e+00;1.3755228203684911e-16;4.2977229369881393e-17;5.0920863495533260e-32
2;3;3;3.8815675620565533e+00;3.8815675620565555e+00;1.0000000000000000e+00;2.1751707741488505e-16;2.9939270113852575e-16;2.2204460492503131e-16;3.3279840284309279e-17;1.5655825530197676e-16;1.5712911002921938e-32
3;3;3;3.2154185179537440e+00;3.2154185179537422e+00;1.0000000000000000e+00;2.4877007231506604e-16;2.4050383779979477e-16;2.2204460492503131e-16;1.9538512146312926e-16;8.8904710725837996e-17;9.4920631977303167e-32
4;3;3;1.4862730297767213e+01;1.4862730297767211e+01;1.0000000000000000e+00;5.6616512853133217e-16;3.1192264084573074e-15;0.0000000000000000e+00;1.9662284071116361e-16;0.0000000000000000e+00;2.7942382936966687e-31
5;3;3;3.7190802726945527e+00;3.7190802726945513e+00;1.0000000000000000e+00;1.8549918689772906e-16;3.7512835306051456e-16;0.0000000000000000e+00;7.0166313335168150e-17;1.5017130849569838e-16;8.5596582700880689e-32
6;3;3;5.7592465679746034e+00;5.7592465679745892e+00;1.0000000000000000e+00;3.9101759993642450e-16;6.3637639731217720e-16;0.0000000000000000e+00;2.7526281937431507e-17;2.5112108388823242e-16;1.3243881452356097e-31
7;3;3;3.3277752984539671e+02;3.3277752984539671e+02;1.0000000000000000e+00;1.2480013019807852e-14;2.8710602263122289e-16;0.0000000000000000e+00;3.4831783927890121e-17;6.1269165513895287e-17;9.4755636970153713e-32
8;3;3;4.3032016921977387e+00;4.3032016921977405e+00;1.0000000000000000e+00;1.4774033314023857e-16;3.2449995332722642e-16;1.1102230246251565e-16;1.3302450760980300e-16;1.2032763841750746e-16;4.0326247941837858e-32
9;3;3;1.0043596723253961e+01;1.0043596723253962e+01;1.0000000000000000e+00;2.3346052648394070e-16;2.4419254894748421e-15;0.0000000000000000e+00;1.2765260335052270e-16;5.3214375931398254e-17;9.8830038377942593e-32
