Cell2D_Index;NumQuadPoints_Boundary;NumQuadPoints_Internal;PiNabla_Cond;Pi0k_Cond;Pi0km1_Cond;PiNabla_Error;Pi0k_Error;Pi0km1_Error;HCD_Error;GBD_Error;Stab_Error
0;3;3;2.0057099191814288e+01;2.0057099191814316e+01;1.0000000000000000e+00;2.5689530830217451e-16;7.3259298238237975e-16;0.0000000000000000e+00;1.4968301477245969e-17;5.4824063707590602e-17;3.2020273386828628e-32
1;3;3;1.0157343555157921e+01;1.0157343555157917e+01;1.0000000000000000e+00;3.9055556787155027e-16;3.3967049209750033e-15;0.0000000000000000e+00;7.2979405466154402e-17;8.1801476066706750e-17;2.3166511393849716e-31
2;3;3;3.8729832769530836e+00;3.8729832769530868e+00;1.0000000000000000e+00;3.4017527320687920e-17;2.2419855821927089e-16;2.2204460492503131e-16;5.8482331896779367e-17;1.1850002564039085e-16;4.1892938568961830e-32
3;3;3;1.4658459854105503e+01;1.4658459854105500e+01;1.0000000000000000e+00;3.6436351468429641e-16;2.2920999025192556e-15;2.2204460492503131e-16;7.4727726775479957e-17;9.7137546923183855e-17;3.0912622058555546e-31
4;3;3;2.0960023237542757e+01;2.0960023237542821e+01;1.0000000000000000e+00;1.9237971245596920e-16;3.9046508936898100e-14;1.1102230246251565e-16;5.1006281958058517e-17;1.9894132054326702e-17;2.0520357970714584e-31
5;3;3;3.8729832423259123e+00;3.8729832423259118e+00;1.0000000000000000e+00;2.1698551573071361e-17;1.3310282243617883e-16;2.2204460492503131e-16;3.6726783031195614e-17;2.3069808053827424e-18;5.5701676752811263e-32
6;3;3;3.8729841772596996e+00;3.8729841772597005e+00;1.0000000000000000e+00;2.2294231654411250e-16;3.9139482902110808e-16;0.0000000000000000e+00;5.5258645518290650e-17;1.0196816679388152e-17;8.7070438264502724e-32
7;3;3;2.9066272784171808e+01;2.9066272784171936e+01;1.0000000000000000e+00;1.2883939688881498e-15;2.1692671158792736e-14;0.0000000000000000e+00;1.6180497532054251e-16;2.2087382736083281e-16;9.9105254893479776e-31
8;3;3;3.8729819611217122e+00;3.8729819611217122e+00;1.0000000000000000e+00;1.9314865161017778e-16;1.9023135497177541e-16;2.2204460492503131e-16;1.4210775107795179e-16;1.6801839246430383e-16;7.9272734632624117e-32
9;3;3;1.0829039324114675e+01;1.0829039324114678e+01;1.0000000000000000e+00;2.6477131637640694e-16;1.7636624550959325e-15;1.1102230246251565e-16;3.5674647167087722e-17;5.5368180084843865e-17;3.8496443572204698e-32
10;3;3;2.3075462125855914e+01;2.3075462125855964e+01;1.0000000000000000e+00;3.5144886840056088e-16;5.0158630753562674e-15;2.2204460492503131e-16;2.1193467437954907e-17;0.0000000000000000e+00;9.9395797142762842e-32
